x y species dbh height age
26.25 24.47 fasy 114.5 38.4 117
44.82 1.13 piab 52.75 32 90
38.17 4.49 piab 63.75 37.7 128
6.15 10.73 fasy 79.75 32.3 81
0.25 38.06 piab 47.75 34.1 102
0.99 44.72 piab 53 24.3 58
3.4 48.43 piab 67.25 40.1 148
7.24 40.97 piab 37.5 32.3 91
13.15 19.67 fasy 97 39.1 122
21.67 46.35 piab 58 39.8 146
38.29 42.16 piab 44.5 34.6 105
41.59 37.11 piab 56 39 139
44.57 32.59 piab 46.25 35.1 109
45.67 20.64 piab 46.75 35.5 111
38.2 31.82 piab 57 36.3 117
31.43 38.78 fasy 103.5 37.4 110
40.56 20.19 piab 43.5 34.2 103
5.57 35.21 acps 42.25 25.9 115
26.14 5.23 piab 67.25 37.9 130
27.48 2.83 piab 45 35.7 113
37.55 0.25 piab 55.75 40.7 154
76.25 24.47 fasy 114.5 38.4 117
94.82 1.13 piab 52.75 32 90
88.17 4.49 piab 63.75 37.7 128
56.15 10.73 fasy 79.75 32.3 81
50.25 38.06 piab 47.75 34.1 102
50.99 44.72 piab 53 24.3 58
53.4 48.43 piab 67.25 40.1 148
57.24 40.97 piab 37.5 32.3 91
63.15 19.67 fasy 97 39.1 122
71.67 46.35 piab 58 39.8 146
88.29 42.16 piab 44.5 34.6 105
91.59 37.11 piab 56 39 139
94.57 32.59 piab 46.25 35.1 109
95.67 20.64 piab 46.75 35.5 111
88.2 31.82 piab 57 36.3 117
81.43 38.78 fasy 103.5 37.4 110
90.56 20.19 piab 43.5 34.2 103
55.57 35.21 acps 42.25 25.9 115
76.14 5.23 piab 67.25 37.9 130
77.48 2.83 piab 45 35.7 113
87.55 0.25 piab 55.75 40.7 154
26.25 74.47 fasy 114.5 38.4 117
44.82 51.13 piab 52.75 32 90
38.17 54.49 piab 63.75 37.7 128
6.15 60.73 fasy 79.75 32.3 81
0.25 88.06 piab 47.75 34.1 102
0.99 94.72 piab 53 24.3 58
3.4 98.43 piab 67.25 40.1 148
7.24 90.97 piab 37.5 32.3 91
13.15 69.67 fasy 97 39.1 122
21.67 96.35 piab 58 39.8 146
38.29 92.16 piab 44.5 34.6 105
41.59 87.11 piab 56 39 139
44.57 82.59 piab 46.25 35.1 109
45.67 70.64 piab 46.75 35.5 111
38.2 81.82 piab 57 36.3 117
31.43 88.78 fasy 103.5 37.4 110
40.56 70.19 piab 43.5 34.2 103
5.57 85.21 acps 42.25 25.9 115
26.14 55.23 piab 67.25 37.9 130
27.48 52.83 piab 45 35.7 113
37.55 50.25 piab 55.75 40.7 154
76.25 74.47 fasy 114.5 38.4 117
94.82 51.13 piab 52.75 32 90
88.17 54.49 piab 63.75 37.7 128
56.15 60.73 fasy 79.75 32.3 81
50.25 88.06 piab 47.75 34.1 102
50.99 94.72 piab 53 24.3 58
53.4 98.43 piab 67.25 40.1 148
57.24 90.97 piab 37.5 32.3 91
63.15 69.67 fasy 97 39.1 122
71.67 96.35 piab 58 39.8 146
88.29 92.16 piab 44.5 34.6 105
91.59 87.11 piab 56 39 139
94.57 82.59 piab 46.25 35.1 109
95.67 70.64 piab 46.75 35.5 111
88.2 81.82 piab 57 36.3 117
81.43 88.78 fasy 103.5 37.4 110
90.56 70.19 piab 43.5 34.2 103
55.57 85.21 acps 42.25 25.9 115
76.14 55.23 piab 67.25 37.9 130
77.48 52.83 piab 45 35.7 113
87.55 50.25 piab 55.75 40.7 154
