x y species dbh height age
43.68 11.58 fasy 41.5 25.5 85
3.58 50 fasy 31.75 31.1 124
5.06 24.51 fasy 50.75 30.9 122
7.06 40.16 fasy 47.75 28.7 106
2.77 16.65 fasy 42.75 30.2 117
4.87 0 fasy 34.25 29 108
0.94 5.86 fasy 55.75 32.5 136
50 33.46 fasy 62.5 34.5 153
6.49 6.1 fasy 39 33.5 144
24.79 13.3 fasy 52.25 36.7 174
38.2 50 fasy 50.25 32.6 136
46.25 20.65 fasy 28.5 23.2 73
36.21 22.48 fasy 42.5 33.5 144
27.51 33.44 fasy 70 29.1 108
12.86 11.45 fasy 58 34.5 153
45.64 29.57 fasy 65 32.2 133
49.15 16.11 fasy 41 31 123
13.91 15.89 fasy 29.5 23.7 76
49.92 6.43 fasy 22.5 28.2 102
8.52 44.66 fasy 43.75 32.5 136
40.5 30.32 fasy 38.25 29.6 112
50 18.85 fasy 53.5 32.5 136
32.14 31.2 fasy 47.25 29.7 113
26.05 7.35 fasy 56.25 31.5 127
43.78 10.28 fasy 55.5 33.6 145
9.36 31.06 fasy 47 33.4 143
24.98 8.33 fasy 74 34.2 151
50 20.15 fasy 37.5 31.4 126
26.9 0 fasy 39.75 31.8 130
18.63 49.39 fasy 55.5 33.3 143
41.24 16.87 fasy 38.25 27.9 100
20.21 19.95 fasy 45.25 34.2 151
0 12.43 fasy 38.75 33.6 145
26.5 30.4 fasy 30 26.3 90
8.85 34.6 fasy 30.75 28.3 103
39.17 41.37 fasy 37.75 31.5 127
49.86 40.21 fasy 39.5 28.3 103
14.5 33.32 fasy 52.25 32.9 139
2.86 29.29 fasy 35 32.1 132
21.27 6.44 fasy 47.75 35.7 164
0 8.51 fasy 43.75 31.6 128
3.95 50 fasy 52.75 31.2 125
34.6 45.68 fasy 45.5 36.8 175
2.88 0 fasy 35 29.8 114
10.33 11.03 fasy 37 30.6 120
13 32.12 fasy 42.75 33.9 148
18.77 38.97 fasy 52.25 36.9 176
38.96 28.45 fasy 62.25 35.3 161
1.22 3.34 fasy 42 34 149
0 35.43 fasy 53.5 30.7 121
10.48 5.42 fasy 34 27.3 96
0.88 5.6 fasy 31 26.5 91
16.72 0 fasy 48.75 35.7 164
