x y species dbh height age
11.49 0.25 lade 36.75 20.8 43
4.06 3.66 bepe 7.5 9.5 17
0.36 4.98 bepe 8.5 11.5 20
1.62 9.65 quro 32.25 23.5 38
1.97 12.12 lade 45 28.6 71
0.25 14.89 lade 47 27.8 67
1.41 13.51 tico 5.75 4.1 10
4.89 12.8 lade 39.5 31.1 83
9.19 9.75 quro 42.5 26.2 46
5.62 14.72 tico 9.25 6.3 14
5.62 14.72 tico 7 3.5 9
1.88 16.47 tico 9.25 7.5 15
1.44 21.87 piab 38.25 25.9 53
8.76 14.04 lade 35.25 30.2 79
7.97 16.52 lade 57.25 36.1 117
6.03 23.31 quro 38 22.3 35
1.24 24.74 quro 44 20.9 32
4.75 26.35 tico 7.5 5.9 13
3.34 25.72 tico 5.5 3.2 9
3.87 26.74 tico 8 6 13
5.35 29.39 tico 7.25 5 12
2.04 32.41 quro 41.5 21.3 33
2.36 37.55 quro 45.25 27.7 51
5.51 33.65 tico 9.25 5.6 12
5.34 34.11 tico 6.75 5.9 13
0.58 44.04 quro 38.5 30.1 62
5.04 35.41 tico 9.75 6 13
61.49 0.25 lade 36.75 20.8 43
54.06 3.66 bepe 7.5 9.5 17
50.36 4.98 bepe 8.5 11.5 20
51.62 9.65 quro 32.25 23.5 38
51.97 12.12 lade 45 28.6 71
50.25 14.89 lade 47 27.8 67
51.41 13.51 tico 5.75 4.1 10
54.89 12.8 lade 39.5 31.1 83
59.19 9.75 quro 42.5 26.2 46
55.62 14.72 tico 9.25 6.3 14
55.62 14.72 tico 7 3.5 9
51.88 16.47 tico 9.25 7.5 15
51.44 21.87 piab 38.25 25.9 53
58.76 14.04 lade 35.25 30.2 79
57.97 16.52 lade 57.25 36.1 117
56.03 23.31 quro 38 22.3 35
51.24 24.74 quro 44 20.9 32
54.75 26.35 tico 7.5 5.9 13
53.34 25.72 tico 5.5 3.2 9
53.87 26.74 tico 8 6 13
55.35 29.39 tico 7.25 5 12
52.04 32.41 quro 41.5 21.3 33
52.36 37.55 quro 45.25 27.7 51
55.51 33.65 tico 9.25 5.6 12
55.34 34.11 tico 6.75 5.9 13
50.58 44.04 quro 38.5 30.1 62
55.04 35.41 tico 9.75 6 13
11.49 50.25 lade 36.75 20.8 43
4.06 53.66 bepe 7.5 9.5 17
0.36 54.98 bepe 8.5 11.5 20
1.62 59.65 quro 32.25 23.5 38
1.97 62.12 lade 45 28.6 71
0.25 64.89 lade 47 27.8 67
1.41 63.51 tico 5.75 4.1 10
4.89 62.8 lade 39.5 31.1 83
9.19 59.75 quro 42.5 26.2 46
5.62 64.72 tico 9.25 6.3 14
5.62 64.72 tico 7 3.5 9
1.88 66.47 tico 9.25 7.5 15
1.44 71.87 piab 38.25 25.9 53
8.76 64.04 lade 35.25 30.2 79
7.97 66.52 lade 57.25 36.1 117
6.03 73.31 quro 38 22.3 35
1.24 74.74 quro 44 20.9 32
4.75 76.35 tico 7.5 5.9 13
3.34 75.72 tico 5.5 3.2 9
3.87 76.74 tico 8 6 13
5.35 79.39 tico 7.25 5 12
2.04 82.41 quro 41.5 21.3 33
2.36 87.55 quro 45.25 27.7 51
5.51 83.65 tico 9.25 5.6 12
5.34 84.11 tico 6.75 5.9 13
0.58 94.04 quro 38.5 30.1 62
5.04 85.41 tico 9.75 6 13
61.49 50.25 lade 36.75 20.8 43
54.06 53.66 bepe 7.5 9.5 17
50.36 54.98 bepe 8.5 11.5 20
51.62 59.65 quro 32.25 23.5 38
51.97 62.12 lade 45 28.6 71
50.25 64.89 lade 47 27.8 67
51.41 63.51 tico 5.75 4.1 10
54.89 62.8 lade 39.5 31.1 83
59.19 59.75 quro 42.5 26.2 46
55.62 64.72 tico 9.25 6.3 14
55.62 64.72 tico 7 3.5 9
51.88 66.47 tico 9.25 7.5 15
51.44 71.87 piab 38.25 25.9 53
58.76 64.04 lade 35.25 30.2 79
57.97 66.52 lade 57.25 36.1 117
56.03 73.31 quro 38 22.3 35
51.24 74.74 quro 44 20.9 32
54.75 76.35 tico 7.5 5.9 13
53.34 75.72 tico 5.5 3.2 9
53.87 76.74 tico 8 6 13
55.35 79.39 tico 7.25 5 12
52.04 82.41 quro 41.5 21.3 33
52.36 87.55 quro 45.25 27.7 51
55.51 83.65 tico 9.25 5.6 12
55.34 84.11 tico 6.75 5.9 13
50.58 94.04 quro 38.5 30.1 62
55.04 85.41 tico 9.75 6 13
