x y species dbh height age
24.01 46.38 piab 84.75 49.4 403
36.76 29.23 piab 74.75 40.8 312
29.16 38.3 fasy 52.25 33.7 146
26.65 33.92 piab 5.5 4.7 31
31.3 34.61 fasy 47.25 30.2 117
22.4 33.46 fasy 59.75 37 177
21.6 32.26 piab 5.5 5.3 33
20.86 31.37 piab 6 5.3 33
20.1 29.36 piab 6 5.2 33
27.63 25.02 fasy 52.7 37.2 178
21.33 19.78 piab 71.75 40.5 309
23.56 16.61 piab 74.75 40.1 304
25.29 19.49 piab 8 6.5 64
17.28 16.52 piab 6 5.4 58
6.12 46.19 piab 5.5 4.5 30
1.83 44.71 piab 5.5 5.4 34
6.82 39.1 fasy 53 35.3 161
10.66 44.47 piab 6 5.1 33
11.02 35.96 piab 6 5.1 33
12.08 34.78 piab 6.5 5 32
11.62 32.99 piab 5.5 4.7 31
10.91 31.26 piab 5.5 5.4 34
9.06 30.73 piab 5 4.7 31
6.91 34.27 fasy 66.5 36.4 171
0.25 27.62 fasy 53.75 29.7 113
8.61 21.79 fasy 84.75 39.8 202
14.48 13.89 fasy 75.25 42.9 231
15.44 4.12 piab 21.5 13.8 66
44.93 49.15 piab 7 6.6 38
15.34 3.72 soau 16 14.1 102
19.76 12.09 fasy 56.25 32 131
11.92 2.24 piab 11 8.6 45
30.11 16.21 fasy 74.25 36.9 176
37.22 20.41 fasy 75.5 39.2 197
30.88 10.82 fasy 51.75 33.3 143
48.71 21.09 piab 5 4.3 30
47.91 17.62 piab 6.5 6 36
48.59 17.2 piab 5.5 6 36
45.63 49.39 piab 12 8.3 44
49 18.05 piab 6 4.9 32
45.93 13.78 piab 6 4.4 30
45.57 11.31 piab 6.5 5 32
46.96 12.07 piab 7.5 6.5 38
48.37 11.44 piab 6.5 5.3 33
48.87 10.39 piab 6 6 36
48.26 1.61 piab 7.5 5.6 34
44.27 5.92 piab 6 5.7 35
45.6 4.99 piab 7 6.5 38
46.75 0.25 piab 7 5.6 34
47.52 43.17 fasy 86.75 38.6 191
41.35 5.7 piab 6 5.1 33
42.91 5.72 piab 6.5 5.9 36
42.19 7.14 fasy 55.75 33.4 143
40.28 9.25 piab 6 5.5 34
41.22 41.56 piab 56.5 36.9 270
