x y species dbh height age
35.42 45.52 fasy 13.25 12.5 76
12.88 44.96 fasy 7 10.3 63
14.38 44.02 fasy 13.75 15.1 93
13.95 43.27 fasy 15.5 15.4 96
12.14 43.25 fasy 12.5 13.6 83
8.18 45.77 fasy 14.25 10.1 62
9.89 42.84 fasy 19.5 15.6 97
37.09 36.33 fasy 9 10 61
49.55 44.15 acps 22 27.2 168
36.4 46.24 fasy 9 7.9 50
35.4 34.41 fasy 15 12.2 74
48.61 48.09 acps 60.75 35.6 257
32.63 47.17 fasy 13.25 12.4 75
8 42.38 fasy 10 14.4 88
42.76 40.79 piab 44 30.2 176
35.73 37.59 fasy 19.75 16 100
38.14 43.88 fasy 6 5.5 39
1.53 46.06 piab 49 32.9 205
7.55 20.66 fasy 8.5 10.2 62
35.45 48.18 fasy 8.5 9.4 58
2.82 42.07 piab 48.75 29.3 167
2.81 22.72 fasy 102.5 29.7 245
43.19 1.99 acps 41 29.9 196
3.59 41.99 fasy 17.25 11.1 67
8.77 19.42 fasy 28.5 16.9 108
1.98 27.56 fasy 11.25 9.5 58
37.3 40.91 fasy 42.25 26.6 210
41.37 18.59 fasy 63 31.5 266
41.37 18.59 fasy 63.75 31.5 266
45.4 6.59 fasy 32 24.7 189
5.65 41.25 fasy 8.25 6.1 41
39.98 6.49 acps 76 26.4 159
33.4 19.22 fasy 71 31 260
47.18 7.63 fasy 51 31.3 263
48.38 11.01 fasy 63.5 42 384
45.34 26.36 fasy 64.25 31.8 269
45.34 26.36 fasy 34 12.4 75
31.16 22.85 fasy 11.5 5.8 40
33.59 42.37 fasy 12.25 12.9 78
31.4 4.61 acps 56.25 27.2 168
31.97 7.14 fasy 79.75 30.4 253
32.62 14.34 piab 13 7.1 36
29.75 7.23 fasy 12.5 9.6 59
13.67 5.47 acps 38.5 31.3 211
29.83 48.41 fasy 9.75 5.5 39
40.84 8.14 acps 42.25 31 208
18.74 12.99 ulgl 38.5 30 304
20.03 10.23 fasy 33.5 29.6 244
12.08 16.01 fasy 46.25 34 294
8.04 16.79 fasy 13.5 15.1 93
7.52 12.11 fasy 8.75 9.2 57
6.66 10.87 fasy 6.5 8.9 55
5.89 8.89 fasy 7 9 56
16.63 48.73 fasy 8.75 9.3 57
4.38 9.58 fasy 7.75 8.2 52
12.55 9.83 acps 30.25 27.7 173
11.69 6.13 acps 32 29 187
9.45 5.9 acps 30.75 26.3 158
