x y species dbh height age
2.76 47.24 fasy 36.5 36.4 104
11.66 32.33 fasy 41.5 34.3 91
6.96 40.6 fasy 26.25 32.7 83
2.79 42.34 fasy 36.25 37.8 113
5.15 25.87 fasy 47.25 40.4 131
10.55 23.1 fasy 56.5 40.9 135
13.56 19.73 fasy 24.25 35.1 96
18.06 18.95 fasy 30.25 37.7 112
21.4 20.02 fasy 39 37.3 109
7.05 47.74 fasy 39.75 36.7 106
22.26 22.69 fasy 29 33.7 88
45.37 23.18 fasy 46.25 37.8 113
41.62 25.36 fasy 42.5 39.5 125
39.7 20.82 fasy 33 35.9 101
37.2 22.45 fasy 28.25 33.9 89
32.82 25.58 fasy 42.25 38.1 115
29.19 28.64 fasy 53.5 39.9 128
25.54 22.19 fasy 55.75 39.5 125
31.72 22.95 fasy 40 37.3 109
32.19 18.23 fasy 37.5 37.2 109
15.31 44.16 fasy 59 38.3 116
35.55 18.82 fasy 29 34.9 95
44.35 4.75 fasy 28.5 40.7 134
40.2 14.68 fasy 45.75 37.3 109
41.02 9.04 fasy 45.75 38.6 118
43.56 13.91 fasy 30.75 34.7 94
38.98 2.32 fasy 48 41.2 137
35.12 5.74 fasy 47.25 40.9 135
32.05 3.59 fasy 46 37.7 112
27.41 2.76 fasy 38.25 33.6 88
32.15 10.81 fasy 37 39.2 122
22.53 43.09 fasy 49.75 37.4 110
23.32 4.93 fasy 51.5 42.4 147
26.33 46.6 fasy 46.5 41.3 138
37.73 47.72 fasy 39.5 38.7 119
44.32 47.01 fasy 24.5 37.2 109
49.16 45.21 fasy 40.5 42.2 145
23.35 33.02 fasy 34 35 95
49.16 32.52 fasy 43.5 40.7 134
43.96 32.03 fasy 39.25 40.6 133
44.42 36.21 fasy 36.25 38.4 117
44 40.84 fasy 28.25 36.9 107
43.62 43.35 fasy 37 39.6 125
38.99 40.11 fasy 50.25 37.3 109
35.26 40.17 fasy 39.5 37.6 111
32.05 45.29 fasy 43.25 39.3 123
18.33 35.24 fasy 35.5 33.6 88
27.57 43.83 fasy 43.25 41.9 143
49.02 18.86 fasy 44 37.7 112
46.69 11.54 fasy 42 39.8 127
49.28 4.19 fasy 48 41.2 137
44.97 3.2 fasy 25.5 28.5 65
26.25 38.73 fasy 34.75 35.1 96
26.23 36.5 fasy 40.25 37.7 112
31.78 34.94 fasy 36.25 41.2 137
20.41 29.54 fasy 41.25 37.8 113
38.28 32.5 fasy 48 43.8 158
22.25 16.49 fasy 36 38.8 120
18.67 15.3 fasy 37 39.1 122
37.89 34.75 fasy 48 41.1 137
20.64 10.96 fasy 38.25 38.2 115
15.33 14.4 fasy 27.75 30.4 73
26.76 7.97 fasy 20.5 28.1 64
17.75 0.25 fasy 38.5 41.2 137
17.29 7.06 fasy 41.75 39.7 126
17.52 28.86 fasy 56.75 37.2 109
12.14 10.18 fasy 74.5 38.2 115
10.57 7.22 fasy 39 37.3 109
7.34 9.01 fasy 38.5 36.8 106
10.05 0.94 fasy 47.75 37.2 109
