x y species dbh height age
0.25 13.97 fasy 12.25 11.3 59
2.49 30.92 fasy 32.25 19.2 110
1.87 34.08 fasy 26.25 19.7 114
1.97 37.8 fasy 35.25 17.8 99
8.38 39.77 fasy 28.5 18.6 105
0.89 10.87 fasy 81 44.5 382
6.92 37.28 fasy 8.25 13.2 69
2.22 20 fasy 25 15.5 83
4 23.51 fasy 22.75 15 79
7.29 14.61 fasy 69.75 43.8 375
11.7 15.05 tico 57.25 16.3 103
22.71 4.21 fasy 62.25 41.4 348
22.8 9.06 fasy 70 44.5 382
23.61 8.71 fasy 15.75 13.6 71
22.22 10.04 fasy 15.75 10.9 57
20.73 15.64 acps 19 18.2 189
2.16 15.11 fasy 15.25 10.5 55
20.61 16.2 fasy 8.5 7.5 42
22.14 16.05 fasy 21 17 93
28.52 19.51 fasy 20.75 14.5 76
27.89 14.05 fasy 21 16.5 89
29.05 11.5 fasy 7.75 9.5 50
27.19 7.67 fasy 10.75 13 68
30.18 8.59 fasy 17.5 14.7 78
26.21 4.96 fasy 12.5 12.8 67
26.21 4.96 fasy 13.5 12.8 67
25.81 2.21 fasy 8.5 14.4 76
28.06 3.24 fasy 6.5 7.3 41
4.97 11.7 fasy 10 10.4 55
35.41 11.34 fasy 5.75 8.6 46
32.83 13.97 tico 52.25 32.1 272
41.51 5.88 piab 99 43.5 160
44.04 7.02 fasy 22.25 15.9 85
43.63 7.26 fasy 12.25 10.5 55
42.25 7 fasy 6.25 8.9 48
41.98 8.18 fasy 10.25 16 86
3.41 5.97 fasy 13.25 7.4 41
39.72 10.07 fasy 19.75 14.9 79
36.24 17.29 piab 102 47.2 193
37.07 20.86 fasy 27.25 16.5 89
40.45 20.28 fasy 12.5 14.4 76
45.14 17.89 fasy 16.75 14.7 78
47.29 20.63 fasy 9.25 11.5 60
46.01 23.95 fasy 12 12.4 65
46.72 24.57 fasy 12.5 13.6 71
6.57 0.25 fasy 59 46.9 409
42.82 28.91 fasy 80.75 43.2 368
35.93 27.92 fasy 36.25 18.3 103
28.44 28.93 fasy 8 10.9 57
15.07 46.98 fasy 17 14.7 78
16.31 49.34 fasy 37.25 22.1 137
24.88 1.67 fasy 6 4.2 55
16.68 46.29 fasy 21 15 79
28.82 46.84 fasy 89.5 46.7 407
4.28 33.08 fasy 13.25 16.3 166
10.34 26.39 fasy 9.5 14.3 143
41.95 47.6 fasy 31 23.1 147
41.72 47.02 fasy 19 15.6 83
42.89 44.53 fasy 6.5 10.4 55
41.19 43.95 fasy 22.5 19.3 111
45.66 41.4 fasy 17.75 17.2 94
26.41 27.66 fasy 25 20.1 118
27.04 32.18 fasy 30.5 15 79
25.66 33.1 fasy 16.75 17.6 97
32.03 38.12 fasy 6.25 6 35
12.66 36.74 fasy 26.75 16.5 89
10.44 34.95 fasy 12.75 11.8 62
9.2 32.94 fasy 15 12.2 64
7.68 35.73 fasy 32.5 21.1 127
12.44 6.26 fasy 79.5 44.1 378
7.24 32.99 fasy 32.5 22.2 138
6.44 33.71 fasy 9 14.5 76
5.62 33.9 fasy 7.25 11.4 60
6.49 31.69 fasy 20.5 20 117
6.83 31.22 fasy 8.75 13 68
8.21 30.92 fasy 18.5 16.9 92
10.91 31.25 fasy 11.75 9.7 51
31.5 40.81 fasy 6.25 6.8 39
25.78 41.48 acps 6 7.8 82
50.25 13.97 fasy 12.25 11.3 59
52.49 30.92 fasy 32.25 19.2 110
51.87 34.08 fasy 26.25 19.7 114
51.97 37.8 fasy 35.25 17.8 99
58.38 39.77 fasy 28.5 18.6 105
50.89 10.87 fasy 81 44.5 382
56.92 37.28 fasy 8.25 13.2 69
52.22 20 fasy 25 15.5 83
54 23.51 fasy 22.75 15 79
57.29 14.61 fasy 69.75 43.8 375
61.7 15.05 tico 57.25 16.3 103
72.71 4.21 fasy 62.25 41.4 348
72.8 9.06 fasy 70 44.5 382
73.61 8.71 fasy 15.75 13.6 71
72.22 10.04 fasy 15.75 10.9 57
70.73 15.64 acps 19 18.2 189
