x y species dbh height age
33.51 25.39 piab 13.5 18.7 52
37.56 25.4 piab 22.25 25 74
40.17 25.59 piab 35 27.4 86
46.46 23.05 piab 26.25 26.5 81
48.54 18.08 pisy 46 27.4 84
44.72 17.81 piab 19.75 20 56
45.49 21.74 piab 28 27.6 87
35.25 24.15 piab 21.75 22.6 64
39.8 22.79 piab 23.5 25.3 75
35.98 22.38 lade 29.5 27.5 74
29.93 21.49 piab 24.5 24.4 72
27.61 17.45 piab 30.75 24.8 73
23.81 15.69 piab 24 25.2 75
22.52 15.64 piab 24 27.4 86
18.86 15.68 lade 32.25 28.2 78
16.1 15.34 piab 19 22.3 63
10.98 17.62 piab 34 28.4 91
6.19 20.25 piab 26.75 27.2 85
3.01 18.81 piab 26 28.1 89
20.86 44.98 piab 30 25.4 76
0.59 14.8 piab 23 24.2 71
2.94 16.28 piab 26.75 29.3 97
4.52 15.2 piab 20.5 24.2 71
5.51 13.63 piab 16.75 20.9 59
7.64 13.79 piab 20 24 70
13.27 12.75 piab 27 25.7 77
15.24 11.38 piab 24.5 24.9 74
18.16 10.41 piab 29.75 26.1 79
20.71 10.48 piab 24.75 26.4 81
23.98 9.24 piab 19 22.4 64
22.71 43.6 piab 23 24.9 74
23.44 13.1 piab 18.75 23.7 69
27.2 12.26 piab 25 26.4 81
29.86 12.23 piab 23.75 25.7 77
30.82 16.19 piab 30.25 25.6 77
34.03 15.07 piab 30.25 25.4 76
36.59 13.61 lade 40 31.4 97
38.02 14.89 piab 30 28 89
41.2 13.7 piab 35 25.9 78
43.1 12.51 piab 27.25 24.6 72
45.14 13.82 piab 30.25 28.6 92
24.72 44.88 piab 19 21.9 62
47.52 14.02 piab 18.75 18.9 52
1.87 12.45 piab 29 27 84
1.26 9.7 piab 22.5 23.8 69
4.22 7.24 piab 20 25.1 75
7.34 6.97 pisy 30.75 27.8 86
7.51 11.25 piab 34.75 30.4 104
11.06 8.88 piab 20.25 22.8 65
14.93 9.01 piab 18.25 21.5 61
16.54 7.69 piab 27.75 25.6 77
19.73 6.64 piab 18.75 21 59
27.05 42.41 piab 32 28.6 92
20.94 4.07 piab 20.5 23 66
22.77 5.41 piab 25.5 24.2 71
26.66 7.15 piab 22 23.5 68
27.73 8.4 piab 27.5 25.9 78
29.84 5.69 piab 16.5 20.2 56
33.45 7.35 piab 28 25.6 77
34.89 9.47 pisy 25.5 25.9 75
33.63 12.34 piab 24.75 25.5 76
35.95 7.3 piab 25 24.1 70
39.5 4.3 pisy 40.5 26.2 77
30.86 44.35 piab 32.5 27.1 84
39.8 0.92 piab 29.75 26.6 82
37.35 0.79 piab 18.75 22.4 64
36.25 3.23 piab 18.5 21.4 60
33.51 0.56 piab 29.75 25 74
30.32 2.06 piab 30 26.3 80
49.73 8.95 piab 32.25 26.9 83
49.7 6.09 piab 19.75 23.4 67
45.11 7.66 piab 20.5 24.1 70
45.47 9.93 piab 29.5 26.9 83
28.2 48.83 piab 31.5 27.5 86
42.96 5.95 piab 16 20.1 56
37.87 9.75 piab 17 20.9 59
47.93 2.73 pisy 36.75 27.1 82
44.56 2.23 piab 28 24.2 71
28.37 3.15 piab 20.25 22 62
22.48 2.8 piab 27.75 24.9 74
21.23 0.25 piab 28.25 25.5 76
11.76 3.75 piab 21.75 24.2 71
9.58 6.11 piab 20.75 23.9 69
8.56 2.27 piab 31.25 24.2 71
34.01 49.69 piab 24.75 25.6 77
4.28 3.54 piab 22.25 24.7 73
2.25 4.83 piab 32 27.3 85
0.82 2.11 piab 33.5 27.6 87
35.4 44.35 lade 43 29.7 86
7.56 48.44 piab 32.5 27.7 87
40.48 43.31 piab 24 24.8 73
42.4 42.1 piab 30.5 26.5 81
43.42 49.74 lade 44.75 30.2 89
46.68 48.93 piab 15.25 20.1 56
48.2 49.91 piab 22.5 25 74
48.72 42.23 piab 22.75 24.3 71
48.97 39.66 lade 37 26.3 68
45.26 40.92 piab 18 21 59
42.06 39.46 lade 34.75 29.4 84
3.49 48.22 piab 42.25 30.9 107
40.89 36.8 piab 27.5 26.6 82
37.96 39.66 piab 16.75 19.9 55
34.31 40.93 lade 44.5 30.2 89
28.52 40.62 piab 23.25 25 74
26.62 39.79 piab 22.75 25.6 77
22.78 39.71 piab 25 24.5 72
20.14 39.58 piab 19.75 24.7 73
20.4 42.23 piab 19.5 24.1 70
17.75 42.22 piab 29.75 26.7 82
13.04 40.92 piab 29.25 27.6 87
1.39 48.3 piab 28.5 27.6 87
9.22 38.1 piab 26.5 26.7 82
6.04 39.19 piab 28.5 27.5 86
0.93 38.89 lade 43.5 30.4 91
0.25 31.57 piab 25.75 26.6 82
5.58 34.39 piab 31 30.2 102
7.82 35.78 piab 32.75 30.4 104
13.34 34.57 piab 31.25 31.2 109
13.47 36.63 lade 24 28.7 80
15.86 34.56 piab 32 30.9 107
3.95 41.89 piab 32.25 29.5 98
17.43 36.9 piab 28.75 29.7 99
21 34.64 piab 18.25 23.8 69
22.58 37.2 piab 27.5 28.7 93
24.99 34.82 piab 35.25 30.3 103
30.52 35.61 piab 17.25 24.3 71
32.65 34.17 piab 36.5 27.9 88
34.02 36.39 lade 27.5 27.6 75
35.95 31.64 lade 34.25 29.7 86
40.06 32.09 piab 16 18.9 52
43.81 32.16 piab 23.75 25.6 77
5.91 43.23 piab 24 26.6 82
45.69 33.34 lade 32.25 28 77
48.25 35.83 piab 20.75 26.2 80
43.93 25.38 piab 24.25 28.2 90
49.29 32.13 piab 16.75 21.5 61
47.22 27.03 piab 25 24.2 71
44.87 29.92 lade 34.25 28.8 81
42.95 28.12 piab 17.5 21.4 60
39.57 29.19 piab 30.5 25.7 77
31.12 27.86 piab 18.25 21.7 61
9.9 43.25 piab 25.5 25.4 76
27.48 30.28 piab 33.25 28.5 92
25.2 30.88 piab 25.5 28.5 92
23.08 29.77 piab 21 24.3 71
20.6 29.39 piab 30.5 27.2 85
18.11 31.94 piab 18.75 23.6 68
16.72 29.39 piab 21.25 24.3 71
12.96 29.31 piab 26 26.3 80
10.7 27.91 piab 19 23.2 67
8.4 30.51 piab 29.75 26.4 81
8.27 28.08 piab 24.5 26.8 83
14.3 44.71 piab 38.5 30.6 105
6.22 29.26 piab 24 25.5 76
2.48 29.11 piab 40 30.7 106
0.67 27.53 piab 28.25 29.9 100
2 21.39 piab 32.5 29.4 97
5.18 22.92 piab 25 25.1 75
4.03 25.23 piab 20.75 24.1 70
12.82 20.46 piab 35.25 28.8 94
11.93 25.49 piab 27 26.5 81
14.39 23.03 piab 24.25 26.1 79
15.32 26.93 piab 28 27.7 87
18.06 44.87 piab 19.5 24.4 72
17.04 25.53 piab 27 25.7 77
18.64 21.85 piab 23.5 25.6 77
20.75 23.16 piab 26.25 26.8 83
22.47 21.45 lade 35.75 29.1 83
24.95 21.97 piab 26.75 27.2 85
26.87 22.55 piab 21.5 25.4 76
22.99 26.92 piab 31.5 28.4 91
25.39 27.03 piab 27.75 24.8 73
27.75 26.54 piab 18.5 22.9 66
31.62 23.95 piab 31.5 27.2 85
83.51 25.39 piab 13.5 18.7 52
87.56 25.4 piab 22.25 25 74
90.17 25.59 piab 35 27.4 86
96.46 23.05 piab 26.25 26.5 81
98.54 18.08 pisy 46 27.4 84
94.72 17.81 piab 19.75 20 56
95.49 21.74 piab 28 27.6 87
85.25 24.15 piab 21.75 22.6 64
89.8 22.79 piab 23.5 25.3 75
85.98 22.38 lade 29.5 27.5 74
79.93 21.49 piab 24.5 24.4 72
77.61 17.45 piab 30.75 24.8 73
73.81 15.69 piab 24 25.2 75
72.52 15.64 piab 24 27.4 86
68.86 15.68 lade 32.25 28.2 78
66.1 15.34 piab 19 22.3 63
60.98 17.62 piab 34 28.4 91
56.19 20.25 piab 26.75 27.2 85
53.01 18.81 piab 26 28.1 89
70.86 44.98 piab 30 25.4 76
50.59 14.8 piab 23 24.2 71
52.94 16.28 piab 26.75 29.3 97
54.52 15.2 piab 20.5 24.2 71
55.51 13.63 piab 16.75 20.9 59
57.64 13.79 piab 20 24 70
63.27 12.75 piab 27 25.7 77
65.24 11.38 piab 24.5 24.9 74
68.16 10.41 piab 29.75 26.1 79
70.71 10.48 piab 24.75 26.4 81
73.98 9.24 piab 19 22.4 64
72.71 43.6 piab 23 24.9 74
73.44 13.1 piab 18.75 23.7 69
77.2 12.26 piab 25 26.4 81
79.86 12.23 piab 23.75 25.7 77
80.82 16.19 piab 30.25 25.6 77
84.03 15.07 piab 30.25 25.4 76
86.59 13.61 lade 40 31.4 97
88.02 14.89 piab 30 28 89
91.2 13.7 piab 35 25.9 78
93.1 12.51 piab 27.25 24.6 72
95.14 13.82 piab 30.25 28.6 92
74.72 44.88 piab 19 21.9 62
97.52 14.02 piab 18.75 18.9 52
51.87 12.45 piab 29 27 84
51.26 9.7 piab 22.5 23.8 69
54.22 7.24 piab 20 25.1 75
57.34 6.97 pisy 30.75 27.8 86
57.51 11.25 piab 34.75 30.4 104
61.06 8.88 piab 20.25 22.8 65
64.93 9.01 piab 18.25 21.5 61
66.54 7.69 piab 27.75 25.6 77
69.73 6.64 piab 18.75 21 59
77.05 42.41 piab 32 28.6 92
70.94 4.07 piab 20.5 23 66
72.77 5.41 piab 25.5 24.2 71
76.66 7.15 piab 22 23.5 68
77.73 8.4 piab 27.5 25.9 78
79.84 5.69 piab 16.5 20.2 56
83.45 7.35 piab 28 25.6 77
84.89 9.47 pisy 25.5 25.9 75
83.63 12.34 piab 24.75 25.5 76
85.95 7.3 piab 25 24.1 70
89.5 4.3 pisy 40.5 26.2 77
80.86 44.35 piab 32.5 27.1 84
89.8 0.92 piab 29.75 26.6 82
87.35 0.79 piab 18.75 22.4 64
86.25 3.23 piab 18.5 21.4 60
83.51 0.56 piab 29.75 25 74
80.32 2.06 piab 30 26.3 80
99.73 8.95 piab 32.25 26.9 83
99.7 6.09 piab 19.75 23.4 67
95.11 7.66 piab 20.5 24.1 70
95.47 9.93 piab 29.5 26.9 83
78.2 48.83 piab 31.5 27.5 86
