x y species dbh height age
25.95 38.08 abal 77.5 41.3 171
18.73 40.08 piab 37.25 32.1 90
12.74 37.49 piab 81.75 44.9 192
9.88 35.31 abal 30.25 28.2 81
3.01 41.47 piab 71.75 42.5 170
2.05 29.99 fasy 34.25 32.1 151
1.31 20.53 fasy 44 31.9 149
6.88 19.33 fasy 59 34.2 171
8.73 17 piab 33.75 32.2 91
20.48 45.55 abal 37.5 32.1 101
11.78 17.51 abal 54.75 39.1 152
13.14 21.09 fasy 37 37.6 203
10.11 24.22 piab 60.5 40.8 155
16.46 29.51 piab 61.25 43.2 176
23.15 28.39 piab 62.25 42.7 172
18.47 16.42 fasy 34 32.2 152
31.36 34.34 fasy 35.25 29.2 125
32.3 45.43 piab 51.5 38.2 132
33.76 47.55 abal 58.75 38 143
43.6 46.71 fasy 46.25 36.2 190
17.65 49.07 abal 60 39.5 156
48.04 45.74 fasy 17.25 14 44
16.96 41.24 fasy 48.25 31.3 165
38.96 44.66 fasy 48.75 36.9 220
45.99 40.64 fasy 33.5 28.5 120
46.08 42.14 fasy 53 32.1 151
41.27 40.7 fasy 26 26.2 102
41.87 36.41 fasy 35.75 29.5 128
18.31 49.37 abal 50 36.4 148
42.11 33.96 fasy 51 36.8 196
44.79 33.84 fasy 43.5 35.2 181
46.26 31.27 piab 66.25 45.1 194
38.91 34.44 fasy 27.5 29.2 125
36.81 37.16 fasy 41.5 34.8 177
33.91 31.55 fasy 44.25 36.6 194
28.79 29.26 piab 47.25 38.9 138
33.61 24.33 piab 59.25 42.9 174
34.96 21.52 fasy 54.25 44.9 273
26.36 16.59 piab 42.5 31.7 88
35.32 19.63 fasy 24.75 28.1 116
32.87 19.92 fasy 19.5 16.8 54
42.62 21.88 fasy 52.25 33.1 161
44.91 16.51 fasy 47.5 39.9 225
49.07 12.91 fasy 63.5 36.4 192
43.96 0.25 piab 80 47 211
33.01 1.43 piab 59.25 39.4 142
31.43 9.96 fasy 57.5 38.5 212
0 25.63 fasy 43.75 34 191
34.1 13.57 fasy 51 42.7 252
14.32 14.91 fasy 52.75 38.4 211
11.01 10.17 fasy 42.5 38.5 212
5.99 8.68 fasy 17.75 19.9 67
4.17 10.41 fasy 33.5 31 141
0.25 7.54 fasy 35 31.2 143
3.86 7.14 fasy 33.5 29 124
5.31 3.55 fasy 19.25 19.6 65
7.31 3.62 piab 73.75 43.5 179
