x y species dbh height age
3.06 14.02 quro 8.75 9.1 37
9.11 28.1 piab 10.75 7.8 72
14.86 9.45 pisy 42.5 26.6 107
4.94 37.64 pisy 32 28.2 122
5.64 35.11 pisy 32 31.4 157
10.35 34.44 quro 50.25 29.7 176
17.62 39.45 pisy 34 22.1 74
19.32 37.5 quro 46.25 27.3 142
21.32 37.78 piab 8 5.9 61
26.35 37.9 piab 16.25 10.9 92
26.66 36.88 piab 13.75 11.9 99
24.78 32.04 piab 21 13.9 116
6.22 50 piab 10.25 6.8 66
26.01 32.68 piab 10.5 10.9 92
17.48 13.92 pisy 38.5 21.6 71
17.24 16.81 piab 11.25 8.8 78
15.98 19.96 bepe 6 7.7 35
25.38 23.52 piab 9.25 8.3 75
9.36 8.28 quro 6.75 6 21
9.82 9.45 quro 5.75 5.5 19
7.16 10.23 pisy 33.75 22.4 76
41.34 50 piab 13.75 12.3 102
4.82 11.95 quro 11 10.5 32
1.31 12.55 quro 6.75 6.5 22
10.08 10.67 pisy 27.75 19.2 59
47.11 12.32 quro 45.5 23.7 99
47.32 14.41 piab 8.25 6 61
20.96 48.47 quro 47 21.5 80
49.34 24.02 quro 33.75 23.9 101
49.13 26.1 quro 52 27.8 149
3.57 15.17 piab 6.75 6.9 67
21.45 45.33 piab 18 10.4 89
23.98 47.27 piab 9 6.6 65
26.31 48.09 pisy 41.75 28.8 128
31.88 6.51 piab 9.75 9.3 81
11.68 27.1 piab 10 9.1 80
29.08 48.96 pisy 35.75 26.1 102
32.03 42.38 pisy 35.25 22.1 86
31.23 48.93 piab 8.25 8.2 74
26.78 14.16 piab 5.5 5.5 58
30.51 36.49 piab 11.5 9.9 85
38.64 48.67 quro 41.75 22.1 84
41.67 49.07 quro 40.25 22.6 89
43.39 49.05 piab 15.5 13.6 113
26.77 19.24 quro 46.5 25.8 181
38.29 30.56 quro 9.25 9.3 38
30.92 29.11 pisy 37.25 21.9 73
30.78 31.77 piab 15.25 11.5 96
30.53 33.04 piab 14.25 13 108
33.41 45.58 quro 49 22 84
34.64 47.31 quro 29.75 18.7 62
19.55 45.31 piab 5.5 5.7 60
30.69 3.87 piab 11.75 8.1 74
17.68 46.87 piab 7.25 4.6 53
15.87 45.72 pisy 25.75 19 58
5.84 50 quro 9 9.3 38
8.93 10.28 quro 10.75 9.5 39
7.58 48.23 quro 8 6.6 22
12.65 45.55 pisy 32 19.7 61
8.8 39.62 pisy 27.75 25.6 98
26.07 27.74 quro 36.25 23.1 93
23.33 24.49 piab 8 6.2 62
24.37 21.28 quro 43 21.5 80
25.64 21.4 piab 8.5 6.8 66
27.6 17.43 pisy 28 19.2 59
31.31 24.15 piab 18 18.4 161
35.05 20.88 quro 48.75 27.4 143
35.66 18.89 piab 11.5 10 86
27.73 27.14 piab 16.5 15.2 127
31.09 18.51 piab 8.75 7.6 71
32.82 17.28 quro 54.5 25.4 118
26.74 14.5 pisy 37 25.3 96
29.97 7.59 pisy 37.5 26.6 107
30.96 9.78 pisy 27 19.6 61
29.24 13.59 piab 9.25 7.8 72
33.86 7.4 piab 12.5 9.3 81
35.79 8.85 pisy 26.25 19.9 62
34.54 4.1 piab 10.5 9.1 80
3.09 16.29 piab 6.75 5.9 61
38.12 2.05 piab 15.25 11.4 96
37.1 6.49 piab 9.25 8.3 75
39.68 8.22 piab 14.75 14.4 120
37.45 11.02 piab 12 8.9 79
36.9 13.23 piab 8.5 7.1 68
36.66 14.35 piab 9 6.7 65
36.52 15.46 piab 10.5 9.8 85
42.95 11.62 pisy 28.75 21.7 72
44.48 7.72 quro 41.75 26.3 129
25.81 11.94 piab 8 8.6 77
46.39 0.25 piab 8.75 8.8 78
12.89 27.28 quro 67.25 32.3 213
2.06 27.43 quro 6.75 7.4 24
3.78 23.97 pisy 38.75 22.8 78
0.25 14.75 quro 7.25 7.5 24
5.57 16.42 pisy 32.25 29.6 137
5.35 18.65 quro 8.25 6.8 22
7.97 19.44 pisy 37.75 25.6 98
24.33 17.03 piab 9 6.1 62
14.39 30.76 quro 43 24.5 107
11.48 22.28 pisy 29.75 22 73
17.03 21.71 pisy 31.75 26.3 104
23.2 16.39 pisy 38.5 23.3 81
21.44 13.54 piab 8.5 5.8 60
16.93 7.32 pisy 23.5 17.2 51
21.59 11.96 piab 9.25 8.2 74
21.03 5.98 pisy 28 30.9 151
12.33 7.61 pisy 27 24 86
53.06 14.02 quro 8.75 9.1 37
59.11 28.1 piab 10.75 7.8 72
64.86 9.45 pisy 42.5 26.6 107
54.94 37.64 pisy 32 28.2 122
55.64 35.11 pisy 32 31.4 157
60.35 34.44 quro 50.25 29.7 176
67.62 39.45 pisy 34 22.1 74
69.32 37.5 quro 46.25 27.3 142
71.32 37.78 piab 8 5.9 61
76.35 37.9 piab 16.25 10.9 92
76.66 36.88 piab 13.75 11.9 99
74.78 32.04 piab 21 13.9 116
56.22 50 piab 10.25 6.8 66
76.01 32.68 piab 10.5 10.9 92
67.48 13.92 pisy 38.5 21.6 71
67.24 16.81 piab 11.25 8.8 78
65.98 19.96 bepe 6 7.7 35
75.38 23.52 piab 9.25 8.3 75
59.36 8.28 quro 6.75 6 21
59.82 9.45 quro 5.75 5.5 19
57.16 10.23 pisy 33.75 22.4 76
91.34 50 piab 13.75 12.3 102
54.82 11.95 quro 11 10.5 32
51.31 12.55 quro 6.75 6.5 22
60.08 10.67 pisy 27.75 19.2 59
97.11 12.32 quro 45.5 23.7 99
97.32 14.41 piab 8.25 6 61
70.96 48.47 quro 47 21.5 80
99.34 24.02 quro 33.75 23.9 101
99.13 26.1 quro 52 27.8 149
53.57 15.17 piab 6.75 6.9 67
71.45 45.33 piab 18 10.4 89
73.98 47.27 piab 9 6.6 65
76.31 48.09 pisy 41.75 28.8 128
81.88 6.51 piab 9.75 9.3 81
61.68 27.1 piab 10 9.1 80
79.08 48.96 pisy 35.75 26.1 102
82.03 42.38 pisy 35.25 22.1 86
81.23 48.93 piab 8.25 8.2 74
76.78 14.16 piab 5.5 5.5 58
80.51 36.49 piab 11.5 9.9 85
88.64 48.67 quro 41.75 22.1 84
91.67 49.07 quro 40.25 22.6 89
93.39 49.05 piab 15.5 13.6 113
76.77 19.24 quro 46.5 25.8 181
88.29 30.56 quro 9.25 9.3 38
80.92 29.11 pisy 37.25 21.9 73
80.78 31.77 piab 15.25 11.5 96
80.53 33.04 piab 14.25 13 108
83.41 45.58 quro 49 22 84
84.64 47.31 quro 29.75 18.7 62
69.55 45.31 piab 5.5 5.7 60
80.69 3.87 piab 11.75 8.1 74
67.68 46.87 piab 7.25 4.6 53
65.87 45.72 pisy 25.75 19 58
55.84 50 quro 9 9.3 38
58.93 10.28 quro 10.75 9.5 39
57.58 48.23 quro 8 6.6 22
62.65 45.55 pisy 32 19.7 61
58.8 39.62 pisy 27.75 25.6 98
76.07 27.74 quro 36.25 23.1 93
73.33 24.49 piab 8 6.2 62
74.37 21.28 quro 43 21.5 80
75.64 21.4 piab 8.5 6.8 66
77.6 17.43 pisy 28 19.2 59
81.31 24.15 piab 18 18.4 161
85.05 20.88 quro 48.75 27.4 143
85.66 18.89 piab 11.5 10 86
77.73 27.14 piab 16.5 15.2 127
81.09 18.51 piab 8.75 7.6 71
82.82 17.28 quro 54.5 25.4 118
76.74 14.5 pisy 37 25.3 96
