x y species dbh height age
1.05 49.64 piab 50.75 34.4 118
8.41 9.96 piab 41 33.1 109
30.26 13.91 piab 31.25 26.4 72
26.61 12.64 piab 38.25 28.2 80
20.16 10.34 piab 46.5 30.7 93
16.74 12.41 piab 29 26.5 73
13.03 6.98 piab 48.75 35.8 129
11.71 4.16 piab 54 36.8 138
5.15 4.51 piab 47.5 34.1 116
0.25 6.55 piab 49 33.6 112
1.15 1.52 piab 37.5 32.9 107
34.09 47.49 piab 43.75 27.5 77
16.08 0.61 piab 51.75 36 131
18.32 6.44 piab 30.25 26.2 71
23 0.25 piab 50 34.7 121
21.25 6.5 piab 35.75 31.3 97
24.68 1.76 piab 40.5 31.1 96
24.81 4.81 piab 44 33.8 114
26.34 4.86 piab 51.25 32.4 104
28.47 10.31 piab 38.75 31.1 96
37.71 49.28 piab 36.5 31 95
34.46 10.8 piab 36.25 29.7 88
34.55 0.44 piab 44 33.9 114
39.36 2.18 piab 35.25 31.4 98
38.5 10.31 piab 26 26.1 71
33.57 5.66 piab 35 26.8 74
36.71 6.3 piab 41 32.9 107
39.73 6.54 piab 43.25 32.9 107
41.97 5.21 piab 39 32 101
40.32 49.52 piab 39 31.5 98
41.16 47.22 piab 34 23 60
43.62 49.8 piab 31 28 79
45.68 47.95 piab 23 23.7 62
47.55 49.35 piab 54.5 34.6 120
42.84 38.36 piab 40.25 31.3 97
42.06 44.34 piab 34.75 29.4 86
40.26 41.98 piab 44 34.2 117
36.98 41.41 piab 36.75 30 89
33.36 42.27 piab 36.5 28.6 82
25.14 43.87 piab 32.5 28.9 84
22.82 44.8 piab 42 29 84
19.09 45.55 piab 38.75 26.4 72
1.16 47.01 piab 35 33 108
15.48 47.32 piab 42 31.6 99
13.88 43.11 piab 47.25 35.2 125
12.02 42.09 piab 38.5 29.4 86
5.35 43.55 piab 49.5 34 115
2.02 41.86 piab 44.5 34.4 118
3.22 38.04 piab 52 32.4 104
2.22 35.51 piab 32.75 31.7 99
1.81 31.18 piab 46.75 32.5 105
5.33 29.3 piab 39.75 31.9 101
8.79 31.03 piab 35 25.9 70
6.33 32.03 piab 42.5 29.2 85
10.18 37.83 piab 41.25 29 84
13.47 33.12 piab 37.5 27.7 78
10.76 28.64 piab 35.75 30.4 92
18.81 31.14 piab 53.75 31.9 101
22.12 32.9 piab 53 31.8 100
22.46 36.75 piab 46 31.7 99
26.02 38.89 piab 32.75 28 79
26.49 36.29 piab 48.5 33.4 111
10.74 45.76 piab 44.25 29.8 88
30.71 36.16 piab 44.25 34.5 119
32.45 36.74 piab 54 34.3 117
37.85 36.41 piab 42.5 32.2 103
40.58 36.3 piab 41 29.9 89
47.25 32.42 piab 47.25 32.7 106
47.85 29.74 piab 41 33.7 113
45.83 27.94 piab 46 33.3 110
40.17 31.28 piab 35 26.2 71
36.64 33.45 piab 40.75 31.3 97
35.09 29.16 piab 31.5 32.8 107
33.2 31.61 piab 34.75 31.6 99
30.24 28.77 piab 31.75 30.2 90
29.87 27.09 piab 34.25 29.3 86
27.84 29.73 piab 22.5 21.1 54
23.68 29.26 piab 45 32.5 105
24.04 26.75 piab 38.25 31.6 99
21.88 25.06 piab 43 30.9 95
16.69 23.05 piab 32.75 27.3 76
17.19 24.37 piab 42.5 31.9 101
16.93 27.05 piab 34.75 29.1 85
5.72 23.02 piab 48.25 33 108
5.08 25.57 piab 38.5 32.7 106
4.68 17.64 piab 35 28.2 80
10.99 15.8 piab 41.5 29.5 87
14.98 18.85 piab 41.25 32.2 103
19.8 19.73 piab 41 33.1 109
21.71 20.78 piab 37.25 31.9 101
23.99 23.79 piab 40 34.1 116
31.81 24.63 piab 34.5 28.4 81
36.25 25.75 piab 52.5 32.3 103
38.22 27.2 piab 40.5 30.6 93
42.26 22.24 piab 48.75 30.9 95
48.88 21.83 piab 43 33.7 113
47.46 15.15 piab 48.75 34.1 116
44.43 14.8 piab 54.25 34.5 119
41.39 14.31 piab 37.25 34.2 117
36.13 19.42 piab 33.5 28 79
31.63 18.13 piab 48.5 33 108
30.75 19.79 piab 27.25 23.8 62
27.88 17.1 piab 45.25 31.7 99
23.29 14.83 piab 38.75 35.6 128
20.95 15.8 piab 56.75 35.5 127
15.88 13.92 piab 48.5 36.4 134
11.57 10.55 piab 34.25 30.9 95
51.05 49.64 piab 50.75 34.4 118
58.41 9.96 piab 41 33.1 109
80.26 13.91 piab 31.25 26.4 72
76.61 12.64 piab 38.25 28.2 80
70.16 10.34 piab 46.5 30.7 93
66.74 12.41 piab 29 26.5 73
63.03 6.98 piab 48.75 35.8 129
61.71 4.16 piab 54 36.8 138
55.15 4.51 piab 47.5 34.1 116
50.25 6.55 piab 49 33.6 112
51.15 1.52 piab 37.5 32.9 107
84.09 47.49 piab 43.75 27.5 77
66.08 0.61 piab 51.75 36 131
