x y species dbh height age
24.57 46.61 pisy 34 25.8 119
46.43 43.2 pisy 31.75 23.3 95
39.16 20.23 strobus 7.75 7.2 39
22 46.04 pisy 30.25 24.6 107
18.81 48.02 qupe 8.5 8.7 87
18.83 44.99 strobus 7.25 7.1 39
12.24 47.49 bepe 9 9.7 47
10.59 46.7 pisy 26.25 19.8 71
8.43 47.48 pisy 25.5 15.8 51
7.86 46.76 strobus 6.25 6.8 38
7.1 46.5 strobus 6 6.4 36
4.6 47.92 pisy 21.75 21.3 80
1.6 48.12 qupe 6 7.5 77
0.92 48.41 pisy 23.25 16.7 55
0.25 43.86 bepe 5.75 8 37
1.74 43.56 qupe 6.25 6.5 70
2.38 44.22 bepe 8.25 11.2 59
2.61 42.81 pisy 24.5 20.7 76
5.01 43.43 bepe 7 9 42
6.45 39.52 qupe 14 11 112
44.14 45.09 pisy 27 20.2 73
8.96 42.04 strobus 6.5 6.9 38
9.36 41.49 pisy 34.5 26.5 126
9.39 43.06 pisy 29.5 20.1 73
10.47 40.93 strobus 6.5 4.4 28
12.06 42.07 strobus 6.5 6.9 38
14.24 42.66 pisy 21 20.6 76
14.36 45.06 qupe 7 6.6 70
15.41 44.32 pisy 16.75 16.6 55
16.47 40.05 pisy 23.75 21.7 83
12.46 36.16 strobus 7 6.8 38
45.32 47.16 pisy 30 25.3 114
11.29 37.29 strobus 8 8.6 46
11.29 37.98 pisy 31.75 23.2 94
9.47 35.75 pisy 25 26.2 123
9.44 34.87 strobus 6.75 6.1 35
5.47 35.08 pisy 36.25 25.1 112
4.23 36.32 pisy 26.25 17.8 60
2.98 37.42 pisy 23 21 78
0.83 39.64 pisy 31.25 24.2 103
43.19 46.13 strobus 7.5 6.1 35
0.58 34.16 pisy 27.5 21.9 84
0.98 31.26 qupe 8 7.8 79
5.23 32.15 strobus 6.5 6.9 38
6.91 31.5 pisy 21.25 21.4 81
7.08 30.43 strobus 6 6.7 37
7.51 30.53 strobus 7.25 8.3 44
9.77 29.58 pisy 26 22.7 90
10.78 32.5 pisy 34.25 24.9 110
13.08 32.49 strobus 7 7.7 42
15.61 32.03 pisy 32.5 23.3 95
42.23 46.27 strobus 7 6.5 36
16.52 34.97 strobus 5.5 5.9 34
2.74 22.15 quro 25.5 11.3 93
4.5 22.31 pisy 22.5 22 85
3.21 20.75 pisy 28 25 111
6.49 21.48 strobus 6.25 6.7 37
8.89 22.34 pisy 19.5 16.1 53
11.38 21.53 pisy 30.5 24.6 107
14.91 19.89 pisy 31.25 28.9 155
15.49 19.98 strobus 7.25 7.4 40
19.77 19.47 strobus 5.75 6.1 35
40.35 45.46 pisy 26.75 21.3 80
18.68 22.38 pisy 38.25 27.4 137
21.51 19.29 strobus 6 6.5 36
22.27 21.48 strobus 6.25 6.7 37
22.23 22.07 pisy 30.75 23.5 97
22.62 22.99 strobus 6.75 6.9 38
23.98 21.11 strobus 5.75 5.8 33
25.66 21.7 strobus 7 7.5 41
26.56 19.4 strobus 5 5.6 33
24.06 16.27 quro 26.75 16.1 161
23.54 12.63 pisy 23.5 21 78
39.58 43.94 qupe 18 7.6 78
20.59 13.31 pisy 21 19.2 67
16.23 13.66 strobus 5.75 6.5 36
16.93 15.29 strobus 6 6.4 36
16.4 16.14 pisy 30 24.3 104
14.38 17.08 pisy 18.5 20.9 78
14.48 16.08 strobus 5.75 6.5 36
11.39 18.02 quro 28.75 22.4 275
9.88 19.88 pisy 16.5 23.4 96
9.02 16.92 pisy 25.75 21.4 81
7.27 15.13 pisy 17.25 17.7 60
35.72 47.07 pisy 32.75 25.4 115
17.31 12.77 strobus 5.5 6.5 36
43.99 20.14 strobus 6.75 7.2 39
44.1 21.06 pisy 26.5 22.2 87
46.66 20.54 pisy 22.25 18.6 64
46.18 21.91 strobus 6 6.2 35
48.88 13.93 pisy 20.5 18 61
47.68 16.5 strobus 6.25 6.3 35
45.68 17.48 pisy 36.75 24 101
44.89 15.46 quro 13.75 5.6 52
43.33 15.9 strobus 6.75 6.3 35
