x y species dbh height age
32.29 7.68 pisy 26.25 20.8 91
7.07 36.75 qupe 6.25 6.4 57
10.2 37.12 qupe 16 13.8 123
11.11 38.19 qupe 8 6 55
13.04 37.83 bepe 9.75 13.9 98
13.84 36.21 qupe 10 12.6 107
14.48 35.91 pisy 35.5 23.3 95
15.83 37.16 qupe 13.75 10.8 88
17.19 37.68 qupe 7.25 8.7 71
19.05 39.66 pisy 24 20.5 75
20.28 36.43 qupe 7.5 10 81
0 28.54 qupe 8.5 9 90
22.53 36.32 pisy 32.5 23.6 98
21.95 37.57 qupe 13 13.1 113
26.28 34.11 qupe 14.75 11.2 92
25.18 31.79 pisy 38.5 17 56
26.69 31.68 pisy 29.5 14.8 47
27.97 29.38 qupe 9 10.1 82
28.91 27.91 pisy 34 22.7 90
31.53 28.1 qupe 10.75 10 81
31.67 29.38 pisy 32 20.8 77
31.42 30.04 qupe 9 8.4 69
26.72 50 qupe 9.25 9.4 94
34.34 27.9 qupe 7.5 7.3 62
37.79 27.43 qupe 9 10.4 85
39.23 27.2 qupe 8.5 7.9 66
39.19 29.26 bepe 6 6.9 32
42.03 26.02 qupe 7 4.4 46
42.87 24.66 pisy 45 25.8 119
47.07 22.68 qupe 9.5 8.8 72
48.66 22.36 qupe 12.75 11.2 92
47.63 19.27 qupe 12.25 10.5 85
47.15 18.84 qupe 10.75 11.7 97
47.15 23.65 qupe 11.5 10.4 105
44.05 15.55 qupe 12 11.9 99
43.44 18.94 bepe 9.25 12.5 74
44.33 20.59 qupe 14.25 8.7 71
41.03 23.34 pisy 24.5 19.4 68
37.13 24.59 qupe 12.5 10.4 85
31.25 23.12 qupe 12.25 12.3 104
30.11 24.47 pisy 39.75 26.4 125
28.85 25.49 qupe 11 11.3 93
28.11 26.76 qupe 8 7.9 66
26.48 26.26 qupe 12.75 11.8 98
40.96 48.04 pisy 34.25 22 85
24.24 26.53 pisy 25 20.9 78
21.59 25.84 qupe 6.75 8.3 69
20.76 25.95 qupe 15 12.7 108
21.15 27.12 bepe 7 5.8 27
18.33 28.04 bepe 13 13.4 88
17.27 28.99 qupe 6 6.9 60
19.7 29.9 qupe 8.5 8.2 68
18.69 31.31 qupe 5.75 7.5 63
20.88 32.63 pisy 42.75 23.8 100
20.33 33.93 qupe 6.25 6.2 56
41.96 1.25 qupe 20 20.8 290
16.43 34.47 qupe 7.75 10.3 84
13.85 34.35 qupe 9.25 11.2 92
14.75 32.28 pisy 28 18.6 64
12.21 32.3 pisy 25.5 21.8 84
12.54 33.44 bepe 7.75 11.1 58
9.36 33.3 pisy 28.25 24.9 110
8.78 31.72 qupe 9.75 8.9 73
7.05 33.17 pisy 28 22.1 86
4.84 33.91 qupe 6.25 7.4 63
1.27 31.58 pisy 5.5 23.6 98
25.32 31.22 qupe 29 20.3 281
3.14 30.78 qupe 8.75 8.5 70
3.52 28.21 qupe 6.5 5.9 54
5.42 27.9 qupe 10 9.3 76
5.75 29.35 bepe 5.75 8.7 41
6.75 31.35 bepe 9.75 13.7 94
9.59 30.49 qupe 7 9.1 74
8.61 28.11 qupe 9 10.3 84
9.2 28.15 qupe 9.75 11.2 92
10.01 27.2 pisy 32.25 20.1 73
10.96 26.17 qupe 6.75 7.2 62
45.79 49.07 qupe 24.75 20.7 244
10.76 29.16 bepe 5.75 9.3 44
12.9 29.57 pisy 36.75 20.3 74
13.87 26.6 qupe 6.25 7.7 65
12.73 25.13 qupe 6 7.4 63
13.36 24.6 qupe 5.75 7.7 65
14.41 24.7 bepe 14 14 100
15.62 27.01 qupe 8.5 8.5 70
19.06 24.78 pisy 24.25 21.1 79
23.27 24.02 pisy 30.5 18.7 65
15.92 22.38 qupe 6 4.5 46
47.88 19.76 qupe 33.25 22.6 325
14.26 21.86 qupe 6 8.1 67
26.92 21.71 qupe 13.5 14 126
26.22 21.79 qupe 8.75 8.5 70
24.56 20.42 pisy 28 22.1 86
23.47 21.27 qupe 10 8.5 70
21.24 21.09 qupe 7.5 10.2 83
18.41 20.19 bepe 12.25 15.2 129
18.34 19.87 bepe 5.75 10.2 50
17.47 20.77 bepe 7.25 7.5 34
14.72 19.98 bepe 12 14.1 102
48.34 46.79 pisy 32.75 20.4 74
12.68 19.96 pisy 30.5 21.8 84
10.77 20.07 qupe 7.75 9.6 78
7.36 19.92 pisy 19.25 13.9 44
7.71 19.99 bepe 7.25 11 57
5.74 22.17 qupe 7.25 5.7 53
4.73 21.51 pisy 20.85 17.7 60
0.58 21.01 qupe 31.5 16.7 172
0.25 18.73 pisy 30 19.1 67
3.34 49.26 qupe 26.75 18.9 212
0.52 14.8 pisy 31.75 19.9 71
1.59 12.55 pisy 27 18 61
4.74 13.9 pisy 18.25 18.6 64
1.78 16.57 pisy 32.25 18.3 63
6.3 17.75 pisy 25.75 20.2 73
8.71 17.75 qupe 9.25 10.2 83
10.53 17.52 qupe 6.25 5.7 53
11.63 15.26 qupe 7.75 8.6 71
12.48 14.63 qupe 11.75 11.1 91
38.61 43.41 pisy 42 26 121
14.07 15.37 pisy 42 21.5 82
12.52 17.79 qupe 11 7.5 63
15.72 17.92 qupe 6.25 7 60
16.4 15.88 qupe 8.75 10.5 85
16.81 16.63 qupe 6.25 6.1 55
17.46 17.83 qupe 6 7.7 65
19.14 16.99 pisy 27 19.2 67
19.83 18.41 qupe 8 9.9 80
21.34 17.14 pisy 26.25 18.9 66
20.81 18.76 pisy 25.5 18.4 63
36.36 44.44 pisy 40 22.7 90
24.09 17.45 qupe 8.75 10.5 85
29.77 15.05 pisy 36.25 24 101
30.76 14.81 qupe 7.75 8.1 67
31.24 13.7 pisy 24.5 21.1 79
33.08 14.84 qupe 8 17.7 190
34.84 15.25 qupe 11.5 10 81
38.15 16.75 pisy 30 23.7 99
39.28 16.42 qupe 6 4.3 45
40.42 17.49 qupe 10.5 7.9 66
36.26 46.41 bepe 6.5 10.2 50
41.55 13.57 qupe 7.75 9 73
37.93 20.36 pisy 33 21.5 82
37.21 19.86 qupe 8 13.2 115
37.31 21.94 qupe 18 11.3 93
35.45 19.87 qupe 8.75 10.5 85
34.41 20.31 pisy 29.75 21.8 84
32.05 21.75 qupe 8.25 10 81
29.53 21.66 qupe 7.25 9 73
27.4 19.96 qupe 13.5 12.1 101
27.42 17.26 pisy 33.5 18.8 65
31.5 44.1 pisy 32.25 25.2 113
28.71 13.83 qupe 7 8 67
29.5 12.49 pisy 28 23.6 98
29.94 7.62 qupe 11.5 12.1 101
31.53 9.8 qupe 8.25 6.7 59
32.62 9.8 qupe 13.75 11.6 96
34.86 9.23 qupe 7.5 8.1 67
35.44 10.87 qupe 13 11.8 98
34.16 12.67 pisy 29.6 24.4 105
29.84 18.63 qupe 8.25 9.7 79
31.27 17.76 pisy 30.75 25.4 115
29.57 44.02 qupe 7 6.3 56
33.94 16.42 qupe 6.25 6.1 55
34.88 17.87 pisy 32 22.2 87
38.23 8.27 pisy 34.25 22.8 91
39.89 9.47 pisy 33.5 24.6 107
39.23 10.58 qupe 10 6.6 58
40.9 11.68 pisy 40.5 20.8 77
43.62 12.27 bepe 8.5 10 49
47.15 14.24 qupe 7 6.1 55
46.82 16.01 bepe 7.25 8.5 39
47.63 17.35 qupe 10 10 81
48.04 13.48 bepe 12.5 13.9 98
48.89 13.37 qupe 7.75 6.9 60
49 12.53 qupe 11 10.8 88
46.56 10.85 bepe 10.25 9.5 45
47.75 6.93 qupe 36 17.5 186
49.44 2.94 qupe 9 8.7 71
47.32 4.18 qupe 7.75 7.9 66
45.27 4.62 qupe 9 6.8 59
26.56 47.28 pisy 39.25 20.8 77
36.38 1.74 pisy 20.25 17.5 59
35.14 4.47 pisy 38.25 24.9 110
33.53 1.5 pisy 34 21.1 79
29.81 2.34 pisy 26.25 17.4 58
28.61 5.18 qupe 12 10.5 85
26.84 5.23 bepe 6.5 7.2 33
26.3 3.89 qupe 7 8.4 69
24.59 48.08 qupe 8.5 9.6 78
24.98 2.59 pisy 27.5 11.5 36
22.67 14.68 pisy 40.5 24.7 108
19.69 14.62 pisy 26.5 21.9 84
18.48 15.9 qupe 11.75 13.3 116
17.7 14.34 qupe 5.75 5.9 54
15.65 14.45 qupe 6.75 7.5 63
13.83 12.49 qupe 8.5 9.9 80
11.86 11.85 pisy 26.25 23.3 95
11.26 10.53 qupe 6.25 7.2 62
9.85 9.28 pisy 25 22.4 88
21.33 47.81 qupe 7 7.6 64
7.85 12.74 pisy 29 21.5 82
9.75 13.82 qupe 7.5 9.8 80
8.41 14.19 qupe 5.5 6.1 55
7.22 15.15 pisy 35.25 21.8 84
4.74 12.39 tico 13.75 8.1 71
4.73 11.84 tico 11.75 11.8 98
4.73 11.84 tico 13.75 11.5 96
4.95 10.45 pisy 26.75 24.3 104
2.87 8.3 qupe 8.5 9.6 78
2.75 7.36 pisy 33.25 21 78
1.92 7.81 qupe 7.75 8.3 69
5.55 47.37 pisy 39.75 22.3 87
19.14 47.06 bepe 9.25 13.7 94
0.9 10.15 qupe 14.75 12.9 111
6.7 5.57 pisy 25.75 19.5 69
8.23 7.25 qupe 9 8.2 68
9.55 8.08 qupe 8.25 8.5 70
10.17 7.05 pisy 24.25 21 78
10.51 6.52 qupe 9.5 10.8 88
9.88 5.76 pisy 30 20.8 77
13 10.29 bepe 6 6.6 30
15.66 10.89 pisy 21.25 22.4 88
17.61 11.05 bepe 6 10.2 50
19.15 49.02 qupe 12.5 11.2 92
19.17 8.44 bepe 12.75 5.4 26
11.43 22.4 qupe 5.75 6 55
8.51 23.31 qupe 9.5 9.5 77
9.73 25.47 pisy 27.5 19.8 71
6.96 25.8 qupe 7.75 8.7 71
6.79 24.04 qupe 6.5 7.5 63
3.5 26.75 pisy 27.5 20.6 76
1.69 26.56 pisy 36.5 19.9 71
4.12 4.17 pisy 32.25 19.8 71
4.94 1.52 qupe 6 6.3 56
17.84 48.17 qupe 10.25 9 73
3.53 0.25 qupe 37.75 23.4 293
6.04 1.83 pisy 19 16.2 53
7.9 0.61 qupe 10 8.4 69
10.79 0.84 pisy 24.25 18.2 62
10.26 3.34 qupe 8.5 9.3 76
12.77 3.3 qupe 8 9.1 74
12.75 4.68 qupe 11 8.6 71
12.54 5.87 pisy 19.25 16 52
11.94 46.25 bepe 8 10.6 54
15.22 8.34 qupe 9.75 8.3 69
18.15 7.61 qupe 11 10 81
19.67 5.08 pisy 21.25 10.8 34
19.57 0.89 pisy 28 16.4 54
20.16 0.53 tico 10 6.2 58
18.89 1.01 qupe 11 9.2 75
20.76 1.86 qupe 6 6.8 59
18.06 4.97 bepe 8 10.9 56
14.67 2.01 pisy 34.75 23.9 100
10.65 46.86 qupe 7.75 8.2 68
14.46 3.51 qupe 6.75 8.4 69
23.27 1.14 pisy 29 18.3 63
23.35 6.56 bepe 14.75 12.9 80
24.9 4.1 qupe 15 13.7 122
25.27 8.21 qupe 8.75 9.8 80
25.95 9.83 qupe 13 13.1 113
23.32 6.76 qupe 10 11 112
21.45 10.4 qupe 8.25 7.4 63
16.35 5.89 qupe 11.75 12.3 104
19.69 3.6 qupe 6 8.6 71
3.23 46.06 pisy 36.5 23.6 98
0.56 45.12 qupe 7.25 7.4 63
0.88 43.39 pisy 20 22.4 88
4.4 44.41 qupe 7.25 9.2 75
11.28 47.61 pisy 25 21.3 80
5.48 43.47 qupe 9 10.6 86
9.36 42.83 pisy 31 22.7 90
11.56 43.02 qupe 7.5 7.6 64
12.65 45.24 bepe 9 10.3 51
14.65 45.39 pisy 34.5 18.9 66
17.5 45.83 qupe 8 12.1 101
18.47 46.37 qupe 5.75 6 55
22.63 43.75 pisy 22.5 22.5 89
23.3 43.4 qupe 8.25 9.5 77
24.42 46.1 pisy 26 20.6 76
10.58 48.43 qupe 6 6.9 60
25.47 43.49 qupe 11.25 11.1 91
25.32 42.4 qupe 7.75 8.3 69
27.64 42.71 pisy 26.25 21.9 84
31.25 41.73 qupe 11 8.6 71
32.9 39.25 qupe 6 5.6 52
34.06 40.83 pisy 39 24.3 104
36.66 40.78 qupe 12.5 11.6 96
38.59 38.9 qupe 8.75 9.6 78
40.25 40.09 pisy 29.25 24.9 110
42.17 39.55 qupe 21.5 13.8 123
45.17 35.13 soau 11 11.8 65
45.29 27.42 pisy 37.25 26 121
45.53 30.4 bepe 17.5 18.2 216
38.86 29.94 bepe 14.75 14.4 109
38.15 37.46 qupe 11 9.7 79
17.04 49.95 bepe 10.5 13.7 94
37.62 34.75 pisy 47 24.2 103
35.15 35.56 qupe 17.5 13.6 120
32.02 37.35 bepe 11.75 12.1 69
29.44 33.16 qupe 7.5 7.5 63
29.49 35.92 pisy 27.5 19 66
27.29 36.62 pisy 18.25 19.6 70
29.43 39.31 pisy 24.25 19.1 67
27.9 40.48 qupe 5.75 6.5 57
25.37 38.28 qupe 6.5 6.9 60
24.82 38.99 pisy 32.25 18.4 63
23.5 40.2 pisy 23.75 21.5 82
21.61 40.33 qupe 7.5 8.9 73
20.08 40.98 bepe 14.75 15.4 135
20.54 42.56 bepe 7 9.1 43
19.35 42.38 pisy 31.75 22.6 90
15.14 41.99 pisy 37.25 24.5 106
13.95 41.07 pisy 12 14.7 47
8.87 40.91 qupe 7.75 7.9 66
9.85 39.45 qupe 6 8 67
3.07 40.29 pisy 39.75 21 78
1.23 34.38 bepe 6 7.9 36
0.92 35.26 bepe 6 8.6 40
2.07 35.42 pisy 27.5 20.4 74
2.81 37.75 qupe 9.75 7.2 62
4.98 36.61 qupe 7.5 8.7 71
5.4 35.57 pisy 34.25 24 101
27.5 3.22 bepe 5.25 9.5 45
45.32 13.51 qupe 6.25 4.6 47
