x y species dbh height age
23.84 48.86 piab 7 6.1 36
10.92 46.17 piab 7 7 39
36.86 44.11 piab 7.75 5.4 34
38.21 44.2 piab 7 6.9 39
40.68 43.58 piab 8 7 39
36.74 29.3 piab 11 9.4 48
38.78 31.9 piab 10 9.6 49
38.33 27.19 piab 8.5 7.8 42
35.95 25.42 fasy 12 8.7 89
29.02 29.23 piab 8.5 7.9 43
30.7 30.27 bepe 7.25 7 32
49.66 1.4 piab 33 33.2 231
46.76 4.05 piab 38.25 28.6 182
47.92 1.76 piab 47.25 30 197
42.26 4.55 piab 43.5 28.8 184
40.12 3.1 piab 33.5 27.8 173
36.47 6.02 piab 39.25 27.4 169
34.9 5.96 piab 30 28.7 183
33.48 1.97 piab 30.5 24.9 143
31.43 5.51 piab 33.75 28.5 181
29.29 7.76 piab 38 30.1 198
5.37 46.92 piab 14.5 14.2 67
26.91 5.07 piab 37 27.2 167
27.37 2.27 piab 31.75 26.2 156
25.97 2.35 piab 34 29.5 192
19.36 1.15 piab 38.5 32.4 222
18.93 5.64 piab 51.5 33.3 232
15.7 6.09 piab 56 30.2 199
13.12 6.87 piab 27.25 25.8 152
7.89 2.78 piab 49.5 34.1 240
3.99 0.25 piab 36.75 26.5 160
7.62 44.19 piab 12.5 12.2 59
5.33 4.93 piab 50 30.1 198
0.54 15.86 piab 58.5 32.9 228
5.18 14.88 piab 49.25 31.3 211
5.18 18.94 piab 36 30.1 198
8.82 15.47 piab 32.5 25.7 151
11.05 17.78 piab 40.25 28.2 178
14.36 17.21 piab 34 27.1 166
19.25 16.91 piab 35.75 26.9 164
23.66 10.8 piab 61 33.9 238
27.72 12.56 piab 36.5 31 207
5.89 44.48 piab 14.5 12 58
32.49 8.24 piab 33.5 31.9 217
36.21 10.31 piab 41 31.2 210
37.24 13.05 piab 27 27.7 172
34.82 15.09 piab 41.75 33.2 231
32.58 17.43 piab 38.75 28 176
30.9 17.44 piab 49.5 32.9 228
28.85 20.81 piab 59 32.5 223
33.56 20.36 piab 38.5 32.1 219
40.11 12.21 piab 40.5 32.9 228
2.63 45.05 piab 14 11.3 55
38.5 17.27 piab 36 29.7 194
48.08 8.12 piab 32 29 186
45.03 11.29 piab 52.75 31.1 282
46.4 17.18 piab 43.5 29.9 196
48.31 22.75 piab 57 32.5 223
46.37 31.92 piab 37.25 31.9 217
43.62 33 piab 24 22.9 124
43.41 32.32 piab 7.5 8.2 44
47.26 34.59 piab 42.75 30.7 204
47.79 36.04 piab 25 21.6 113
4.21 44.68 piab 6 6.6 38
46.53 37.4 piab 22 24.5 139
43.87 38.35 piab 30 24.3 137
41.84 42.01 piab 35.25 27.5 170
43.51 42.31 piab 44.25 28.4 180
39.76 39.92 piab 39.75 27.7 172
41.39 49.92 piab 37.75 31.2 210
36.17 49.27 piab 33 23.8 132
31.31 48.39 piab 49.25 29.4 190
33.7 46.35 piab 51.75 28.4 180
3.43 48.79 piab 15.5 12.2 59
25.39 48.69 piab 50.5 28.3 179
13.83 40.49 piab 42.25 30.9 206
15.81 41.01 piab 44.75 32.1 219
30.17 34.2 quro 36.25 19.2 115
33.79 31.16 piab 56.5 29.2 188
34.79 34.24 piab 38.5 27.2 167
12.3 40.48 piab 6.25 5.8 35
15.06 41.63 piab 7 7.1 40
14.2 42.06 piab 5.5 5.7 35
0.75 47.53 piab 12.25 11.2 55
20.6 42.49 piab 7.25 6.7 38
20.62 45.85 piab 6.5 6.7 38
21.74 45.46 piab 6.25 5.3 33
27.49 45.14 piab 7.5 6.3 37
26.59 46.12 piab 6.25 6.9 39
32.2 49.3 piab 6 5.5 34
31.5 45.85 piab 5.5 5.7 35
10.11 26.32 piab 6.5 6.5 38
14.88 23.29 piab 7.25 5.5 34
14.8 21.67 piab 6.75 5.4 34
23.88 21.12 piab 6.75 5.9 36
30.31 21.58 piab 6 6.4 37
40.37 38.95 piab 7 6.2 37
39.19 39.06 piab 6.25 8 43
39.9 37.26 piab 5.75 5.8 35
40.38 31.75 piab 8.25 7.8 42
42.07 30.6 piab 6.5 6.7 38
39.42 24.29 piab 6.25 4.5 30
42.02 21.77 piab 6.75 5.8 35
43.75 21.59 piab 6.5 5 32
21.42 49.64 piab 7.5 7.6 42
0.72 45.29 piab 12.5 11.6 56
39.63 20.87 piab 6.5 4.1 29
37.66 23.71 piab 8 7.9 43
35.28 26.82 piab 6.5 7.2 40
34.74 26.88 piab 7 6.1 36
17.19 44.15 piab 7.25 6.6 38
17.32 46.22 piab 7 7.3 41
39.95 30.49 piab 6 6.4 37
39.98 32.95 piab 6 6.3 37
40.53 34.49 piab 27.75 27.4 169
1.26 43.11 piab 12.75 10.7 53
38.35 32.39 piab 6.25 5.6 34
38.35 32.39 piab 6 5.3 33
36.69 32.17 piab 6.5 6 36
41.79 31.93 piab 6 5.9 36
41.62 35.72 piab 6.5 6.2 37
41.51 34.08 bepe 5.5 7.3 33
35.45 45.88 piab 8.75 5.2 33
31.69 36.57 piab 8.25 5.4 34
33.79 37.29 piab 6.75 6.8 39
13.22 41.64 piab 39.75 28.4 180
3.6 42.69 piab 10 10.4 52
14.04 35.95 piab 7.75 7.2 40
21.56 22.39 piab 7.25 4.7 31
5.36 42.42 piab 8.5 10.6 53
3.45 40.75 piab 15.25 12 58
4.64 38.3 piab 12.5 12 58
