x y species dbh height age
46.64 0.25 piab 42.5 25.4 76
35.08 1.87 piab 31 24.9 74
31.05 20.06 piab 37.75 29.3 97
29.47 20.01 piab 25.5 28.1 89
26.78 21.18 piab 21.25 18.2 50
25.23 21.37 piab 38.5 32.2 117
24.24 21.62 piab 27.25 22.4 64
24.4 18.94 piab 30.75 27.7 87
25.45 26.88 piab 38.5 29.5 98
28.3 25.85 piab 21.25 28.2 90
29.58 24.33 piab 34.25 29.1 95
28.27 28.67 piab 25.5 25.2 75
32.28 0.4 piab 26.5 24.3 71
29.8 28.61 piab 34 30.1 102
32.12 31.34 piab 47.25 28.1 89
28.95 35.9 piab 31.75 25.3 75
30.56 35.94 piab 25.75 24.5 72
35.59 35.97 piab 42.5 26.4 81
41.92 36.6 piab 52.5 31.7 113
46.5 40.32 piab 36.25 31 108
48.19 45 piab 30.25 22 62
46.54 47.71 piab 23.5 18.2 50
47.38 48.87 piab 44.25 29.8 100
31.64 3.9 piab 36.25 27.4 86
43.58 47.11 piab 35 27.1 84
5.52 10.72 piab 22.25 26.4 81
7.98 12.58 piab 21 26.4 81
9.45 12.7 piab 26.5 25.2 75
12.23 11.37 piab 22.5 22.9 66
14.14 13.27 piab 27.75 24.1 70
9.45 16.52 piab 51.25 29.7 99
10.64 19.2 piab 38.75 25 74
9.53 20.5 piab 23 25.1 75
33.12 5.78 piab 29 28.8 94
10.89 22.13 piab 16.75 15.7 44
35.25 37.94 piab 28 23.4 67
32.4 39.17 piab 27.5 26 79
29.36 39.37 piab 37.25 29 95
24.19 35.61 piab 37 27 84
20.95 33.86 piab 41 29.2 96
21.71 39 piab 14.25 18.4 51
21.81 40.37 piab 36.25 29.3 97
23.99 45.35 piab 36.25 28.2 90
34.86 7.08 piab 50.5 29 95
27 46.87 piab 42.5 29.2 96
15.15 18.82 piab 37.25 28.7 93
17.8 20.63 piab 45.5 31.4 111
21.01 22.42 piab 35.25 29.5 98
14.7 22.62 piab 37.75 28.9 94
8.46 24.22 piab 16.5 19.1 53
9.49 27.29 piab 35.75 27 84
16.33 27.31 piab 45.75 29.3 97
36.09 7.58 piab 16.75 11.7 34
18.29 30.49 piab 45.25 27.5 86
32.31 40.88 piab 33.75 27.7 87
30.88 44.12 piab 43.5 27 84
31.35 46.07 piab 33.75 28 89
31.23 48.89 piab 30.75 24.8 73
33.64 49.78 piab 34.5 27.4 86
33.64 49.78 piab 42 27.1 84
38.64 45.83 piab 27.5 23.5 68
42.03 44.35 piab 33 24.3 71
28.82 9.2 piab 31 22.8 65
14.55 30.52 piab 43 26.5 81
16.22 33.38 piab 23 22.7 65
13.87 35.01 piab 33 26.9 83
41.75 41.35 piab 24.75 22.4 64
40.29 38.23 piab 17 16.5 46
37.08 42.85 piab 49.5 29.7 99
38.69 47.49 piab 24 18.2 50
27.24 9.03 piab 16.5 21.2 60
15.12 42.21 piab 23.5 24.9 74
19.07 40.44 piab 43.5 33 123
18.9 43.77 piab 37.25 24.8 73
20.41 45.61 piab 39.75 23.7 69
18.52 49.28 piab 51.5 29.5 98
43.16 49.06 piab 55.25 29.3 97
28.24 5.23 piab 25 22 62
27.13 5.32 piab 27 25.4 76
28.83 2.72 piab 23.25 20.3 57
27.59 1.52 piab 45 29.2 96
21.35 1.69 abal 35 27.8 89
21.18 4.04 piab 28.5 21.5 61
23.6 5.82 piab 34.5 28.2 90
22.47 6.97 piab 17.25 21.3 60
21.64 7.83 piab 27.75 26.7 82
17.62 6.31 piab 34 28.3 91
16.27 4.69 abal 33 28.1 90
44.2 2.73 piab 21.5 23.8 69
16.3 7.54 piab 33.75 27.6 87
0.72 43.14 piab 47.75 28.5 92
4.6 43.86 piab 45 28 89
1.88 42.1 piab 26.25 20.1 56
0.29 36.73 piab 7.25 3 16
4.36 39.92 piab 25 27.8 88
6.6 42.17 piab 32.75 28.3 91
9.16 43.01 piab 34.5 28.5 92
9.37 44.79 piab 47.5 29.1 95
37.13 0.49 piab 45 26.2 80
10.77 42.81 piab 35 28.9 94
12.95 43.59 piab 41 31 108
13.94 42.12 piab 21.5 19.7 55
11.54 36.59 piab 28.25 31.3 110
7.81 38.71 piab 34.75 29.8 100
5.5 38.51 piab 21.75 27.4 86
7.08 35.87 piab 33.5 27.2 85
4.35 34.58 piab 34.5 30.6 105
5.95 30.54 piab 36.5 29.6 98
42.66 7.56 piab 41.75 29.3 97
3.33 26.6 piab 43.75 31.3 110
2.32 25.21 piab 27.75 30.8 106
2.06 23.63 piab 18.5 18.7 52
0.88 27.7 piab 33 23.4 67
1.07 26.29 piab 21.5 22.2 63
0.39 24.07 piab 34.5 26.6 82
5.89 22.95 piab 32.5 27.3 85
5.92 21.37 piab 35 28.5 92
2.39 19.69 piab 36 25.2 75
1.9 17.27 piab 27 18.6 51
45.6 5.95 piab 27 24.2 71
3.23 16.02 piab 38.5 23.1 66
6.97 18.84 piab 25.25 23.1 66
6.8 14.86 piab 25.5 18.3 51
4.35 13.63 piab 15 15.3 43
3.07 12.08 piab 40.25 27.3 85
1.92 11.97 abal 22 17.5 50
0.25 7.76 piab 15.5 16.1 45
1.81 6.62 piab 32 27.5 86
1.8 5.27 piab 34.75 28.5 92
46.74 8.18 piab 39.25 26.1 79
1.44 3.9 piab 32.5 27.7 87
5.31 3.13 piab 17.5 19 53
7.67 0.64 piab 30.5 24.8 73
4.14 5.69 piab 21.25 20.9 59
13.73 1.64 piab 24.25 17.7 49
12.45 4.13 piab 32.25 26.6 82
16.31 0.91 piab 44.5 28.2 90
48.09 5.35 piab 32 28 89
8.12 9.75 piab 51.5 30.3 103
27.46 11.42 piab 41.75 28.6 92
29.29 15.39 piab 38.75 25.9 78
33.98 13.68 piab 23 21.4 60
36.75 14.24 piab 27.25 19.9 55
34.24 16.24 piab 33.75 28.3 91
36.87 18.14 piab 30.5 27.6 87
38.32 18.29 piab 41.5 28.7 93
47.42 19.34 piab 46 29.4 97
47.77 29.6 piab 46.25 27.9 88
36.21 2.47 piab 24 24 70
49.41 31.11 piab 15 22.5 64
41.4 31.89 piab 31 30.8 106
38.47 28.83 piab 29.75 26.9 83
36.96 28.91 piab 27.5 27.8 88
41.37 24.68 piab 41.25 30.4 104
38.43 24.44 piab 42.25 22.4 64
38.69 22.76 piab 25.25 23.4 67
34.27 24.36 piab 26.75 24.1 70
32.7 24.43 piab 30.25 26.2 80
31.31 22.51 piab 19 25.4 76
96.64 0.25 piab 42.5 25.4 76
85.08 1.87 piab 31 24.9 74
81.05 20.06 piab 37.75 29.3 97
79.47 20.01 piab 25.5 28.1 89
76.78 21.18 piab 21.25 18.2 50
75.23 21.37 piab 38.5 32.2 117
74.24 21.62 piab 27.25 22.4 64
74.4 18.94 piab 30.75 27.7 87
75.45 26.88 piab 38.5 29.5 98
78.3 25.85 piab 21.25 28.2 90
79.58 24.33 piab 34.25 29.1 95
78.27 28.67 piab 25.5 25.2 75
82.28 0.4 piab 26.5 24.3 71
79.8 28.61 piab 34 30.1 102
82.12 31.34 piab 47.25 28.1 89
78.95 35.9 piab 31.75 25.3 75
80.56 35.94 piab 25.75 24.5 72
85.59 35.97 piab 42.5 26.4 81
91.92 36.6 piab 52.5 31.7 113
96.5 40.32 piab 36.25 31 108
98.19 45 piab 30.25 22 62
96.54 47.71 piab 23.5 18.2 50
97.38 48.87 piab 44.25 29.8 100
81.64 3.9 piab 36.25 27.4 86
93.58 47.11 piab 35 27.1 84
55.52 10.72 piab 22.25 26.4 81
57.98 12.58 piab 21 26.4 81
59.45 12.7 piab 26.5 25.2 75
62.23 11.37 piab 22.5 22.9 66
64.14 13.27 piab 27.75 24.1 70
59.45 16.52 piab 51.25 29.7 99
60.64 19.2 piab 38.75 25 74
59.53 20.5 piab 23 25.1 75
83.12 5.78 piab 29 28.8 94
60.89 22.13 piab 16.75 15.7 44
85.25 37.94 piab 28 23.4 67
82.4 39.17 piab 27.5 26 79
79.36 39.37 piab 37.25 29 95
74.19 35.61 piab 37 27 84
70.95 33.86 piab 41 29.2 96
71.71 39 piab 14.25 18.4 51
71.81 40.37 piab 36.25 29.3 97
73.99 45.35 piab 36.25 28.2 90
84.86 7.08 piab 50.5 29 95
77 46.87 piab 42.5 29.2 96
65.15 18.82 piab 37.25 28.7 93
67.8 20.63 piab 45.5 31.4 111
71.01 22.42 piab 35.25 29.5 98
