x y species dbh height age
0.25 30.5 fasy 58.5 33.4 163
1.04 7.64 fasy 29.75 19.2 64
29.67 21.79 fasy 49.5 37.7 204
21.87 15.68 tico 42 32.7 157
18.9 13.34 tico 62.25 35.9 187
27.76 33.52 fasy 53.25 32 150
26.35 42.77 fasy 56.25 34.2 171
12.54 6.06 acps 40.5 32.8 179
16.79 7.25 fasy 41.25 36.2 190
18.83 0.82 fasy 51.5 36.4 192
38.96 4.89 fasy 46 35.1 180
2.02 29.56 fasy 63 36.1 189
35.16 5.67 fasy 45 32.5 155
29.02 7.29 fasy 82 37.7 204
45.09 15.31 fasy 40.5 36.2 190
49.27 12.16 fasy 52.75 41.8 243
47.89 17.41 fasy 63.5 34.6 175
43.12 18.71 fasy 47.25 30.8 139
41.84 23.59 fasy 42.75 35.3 182
21.11 21.78 fasy 72.5 35.3 182
21.81 24.58 fasy 21 21.8 76
26.76 21.77 tico 33 29.7 130
6.77 36.41 fasy 52 33.6 165
25.86 16.86 fasy 47.5 29.1 124
35.93 41.04 fasy 64.5 33.8 167
43.01 34.93 fasy 62.25 34.2 171
44.11 38.13 fasy 58.5 31.7 147
11.22 39.91 acps 35.75 32.3 174
17.85 43.65 acpl 66.75 34.6 175
24.83 13.56 fasy 34 31.1 142
29.47 12.25 tico 41.25 28.6 120
35.63 16.87 tico 56.5 40.1 227
35.63 16.87 tico 51 37.9 206
8.64 48.49 fasy 82.5 34.4 173
35.76 25.02 fasy 49.25 33.5 164
49.6 46.38 fasy 11.25 12 38
8.32 15.89 fasy 21.25 18.3 60
48.09 21.44 fasy 60 33.9 168
46.27 18.97 tico 33.25 34.4 173
49.18 14.98 fasy 23 20.1 68
32.21 26.06 fasy 72.5 32.4 154
43.51 29.63 tico 20.25 13.3 42
46.25 2.57 tico 42.75 28.4 119
22.14 12.34 tico 37.25 31.4 145
3.02 8.38 fasy 72 33.3 163
37.64 0.25 tico 57.25 33.3 163
15.56 31.98 fasy 88.25 35.1 180
18.28 16.7 fasy 63.25 34.3 172
50.25 30.5 fasy 58.5 33.4 163
51.04 7.64 fasy 29.75 19.2 64
79.67 21.79 fasy 49.5 37.7 204
71.87 15.68 tico 42 32.7 157
68.9 13.34 tico 62.25 35.9 187
77.76 33.52 fasy 53.25 32 150
76.35 42.77 fasy 56.25 34.2 171
62.54 6.06 acps 40.5 32.8 179
