x y species dbh height age
24.16 47.6 piab 40.25 37.6 99
15.5 41.74 piab 59 40.1 116
19.9 36.38 piab 74 42.6 134
20.31 29.98 piab 54.75 39.3 110
14.2 29.82 piab 24.25 26 53
7.77 30.87 piab 53.5 38.6 106
5.56 31.62 piab 53.75 41.2 124
3.71 36.35 piab 47.25 35.6 88
0.78 35.68 piab 49 32.5 74
1.79 25.6 piab 41.5 36.9 95
7.67 25.71 piab 57.25 39 108
22.8 49.92 piab 51.25 38.2 103
11.52 23.06 piab 51.25 39.9 114
14.98 26.24 piab 18.75 26.3 54
21.31 27.52 piab 30.25 34.6 83
23.37 25.65 piab 29.25 33.9 80
24.87 28.8 piab 49 36.9 95
22.41 21.52 piab 28 35.7 89
19.75 23.35 piab 74.25 42.4 133
16.52 18.77 piab 53.75 39.6 112
8.75 17.07 piab 43.75 40.8 121
19.24 47.68 piab 50.25 38.1 102
6.41 19 piab 42.5 38.3 104
6.34 13.99 piab 67.5 42.7 135
2.92 14.79 piab 42 36 90
0.25 19.08 piab 51.75 42 130
1.85 10.48 piab 61.5 41.4 125
10.62 7.79 piab 44 36.9 95
4.19 0.84 piab 45.25 36.9 95
11.29 3.8 piab 46.25 37.5 99
11.27 1.4 piab 39.25 36.8 95
14.68 49.18 piab 42.25 37.1 96
15.84 3.49 piab 52.75 40.3 117
15.57 8.69 piab 32 34.3 82
20.92 3.21 piab 45.5 37.2 97
18.35 9.34 piab 27.75 32.2 73
20.4 6.05 piab 32.25 33.8 80
31.33 8.63 piab 56 38.6 106
30.32 12.44 piab 60.5 38.5 105
24.82 15.6 piab 24.25 30.7 67
28.86 4.16 piab 29.5 44.6 151
26.58 13.66 piab 43.5 38.3 104
22.56 10.26 piab 42.25 37.5 99
26.95 48.3 piab 45 35.3 87
34.01 46.34 piab 42 38.3 104
35.97 47.8 piab 50.75 38.8 107
39.03 46.48 piab 52 40.1 116
43.51 44.86 piab 58.25 41.7 127
48.96 47.38 piab 50.25 41 122
47.51 42.18 piab 40 35.6 88
47.98 39.82 piab 46.75 40.1 116
45.71 36.48 piab 63.75 39.5 112
3.23 46.92 piab 79.5 42.4 133
40.84 39.41 piab 42.75 36.8 95
29.76 41.34 piab 56.5 42.2 131
25.49 42.94 piab 36.5 38.8 107
21.82 40.52 piab 38.25 36.5 93
26.27 39.02 piab 34.25 38.9 108
29.11 36.04 piab 23 31.8 71
31.31 35.2 piab 38 34.1 81
28.83 33.58 piab 49.75 41.7 127
32.77 29.64 piab 52.25 37.4 98
38.33 28.5 piab 64.5 40 115
6.4 42.31 piab 48 41.8 128
41.68 30.41 piab 39 34.5 83
42.81 26.89 piab 42 38.5 105
48.28 25.83 piab 39.75 36.5 93
49.1 22.21 piab 66.5 41 122
41.26 23.95 piab 56.75 39.3 110
33.07 24.32 piab 67 42.7 135
26.92 24.09 piab 50.5 38 102
23.9 23.27 piab 24.25 31.5 70
41.18 20.3 piab 33.75 34.2 81
26.4 17.52 piab 52 39.9 114
7.17 38.71 piab 46.25 40.2 116
