x y species dbh height age
18.99 41.79 piab 37 33 95
26.14 17.06 piab 47 36.7 120
29.2 11.23 piab 35.75 30.7 83
29.87 8.84 piab 45.75 37.2 124
33.33 5.15 piab 41.25 34.1 102
35.55 8.35 piab 51.75 36.3 117
38.98 6.35 piab 34 34.6 105
26.74 2.46 piab 43 36.7 120
31.7 1.01 piab 30.25 26.9 67
38.02 3.06 piab 34.25 32.3 91
19.53 43.25 piab 37.25 32.8 94
34.73 1.16 piab 39 37.1 123
41.29 0.92 piab 50.25 38.6 135
42.26 3.38 piab 47.75 36.1 116
48.2 0.25 piab 38.25 33.9 101
42.95 6.34 piab 39.25 37.3 125
48.91 6.88 piab 38.25 34.7 106
27.05 44.48 piab 39.25 35.8 113
26.81 41.03 piab 51.25 37.3 125
23.84 35.28 piab 48.75 35.3 110
25.95 30.33 piab 39.25 34.3 103
24.59 29.14 piab 37 34.9 107
20.06 34.14 piab 37 32.7 93
18.44 35.77 piab 37 33.1 96
13.38 36.03 piab 33.75 32.3 91
28.02 46.78 piab 34.75 30.5 82
10.56 35.97 piab 37.5 34.1 102
8.67 31.39 piab 49.75 35.1 109
11.41 32.49 piab 46.5 35.9 114
15.6 30.53 piab 54.5 36.9 122
19.15 30 piab 41 35.5 111
20.77 28.73 piab 41.25 32.9 95
23.58 26.38 piab 40.25 36.1 116
21.54 24.73 piab 36.5 34.2 103
17.51 24.31 piab 36 31.5 87
10.92 23.93 piab 52 35.7 113
21.31 48.64 piab 39.25 35.3 110
8.62 26.95 piab 46 35.7 113
3.93 23.73 piab 54 37.5 126
3.47 19.24 piab 41 34.8 107
7.62 20.8 piab 38.75 33.7 99
13.28 21.41 piab 39.5 35.7 113
17.04 18.82 piab 24.5 23.9 57
21.88 16.39 piab 47.5 36.8 121
17.44 15.24 piab 40.75 34.1 102
17.08 46.41 piab 42.75 36.2 116
9.98 16.66 piab 50.25 36 115
9.03 14.81 piab 32.25 30.8 83
3.69 12.81 piab 42 36.1 116
0.67 14.81 piab 34.5 30 80
1.11 9.31 piab 38.75 32.1 90
5.98 10.52 piab 54 38.6 135
10.35 11.44 piab 35.75 32.5 92
15.17 11.54 piab 45.25 33.5 98
24.21 12.78 piab 32 29.7 78
25.86 8.22 piab 45.75 33.9 101
5.47 49.93 piab 44.5 37.3 125
20.09 7.58 piab 56.25 38.8 137
14.37 7.51 piab 37.75 33 95
9.42 8.6 piab 36.25 31.5 87
4.01 5.11 piab 50 38.8 137
11.04 5.66 piab 48.5 35.3 110
0.25 4.96 piab 44.5 35.7 113
10.21 1.3 piab 43.25 38.5 135
14.39 2.39 piab 41.5 37.1 123
17.58 4.65 piab 31 30.4 81
2.49 47.16 piab 61.75 36.5 119
31.22 42.92 piab 45.25 37 122
35.47 43.81 piab 47.75 35.9 114
37.28 48.24 piab 45 34.2 103
42.47 46.88 piab 39 33.6 99
47.23 43.2 piab 68.75 38 130
44.25 41.89 piab 37.5 31.3 86
39.13 40.75 piab 33.75 31.1 85
34.9 39.05 piab 39 33.9 101
4.16 41.25 piab 43.25 34.1 102
32.08 39.46 piab 33 36 115
33.38 35.55 piab 36 34.5 105
28.94 32.67 piab 53.75 37.2 124
31.07 29.52 piab 38.25 33.9 101
35.16 29.5 piab 37.25 32.3 91
35.54 32.29 piab 30.25 33.5 98
39.77 33.84 piab 43.5 34 101
42.5 34.33 piab 50 36 115
45.37 36.83 piab 46.75 35.2 109
49.28 36.44 piab 30.5 30.3 81
7.13 39.34 piab 48 34.9 107
42.45 20.23 piab 36 31.3 86
26.83 22.82 piab 43.25 35.5 111
30.58 25.2 piab 31.25 30.1 80
33.17 22.04 piab 52.5 36.1 116
32.98 19.65 piab 48 39.1 140
36.88 19.28 piab 44.75 35.4 111
37.31 25.51 piab 44.75 37.8 129
39.96 24.08 piab 33.25 30.1 80
44.02 24.18 piab 50 38.1 131
47.55 19.32 piab 46.5 34 101
9.94 42.32 piab 47.75 32.5 92
48.09 12.12 piab 53.25 38.6 135
47.97 9.05 piab 31 32.5 92
43.97 9.58 piab 37.25 32.8 94
