x y species dbh height age
0.25 40.19 qupe 33.75 25.7 99
23.31 45.78 qupe 49.75 28.9 136
39.39 29.94 cabe 11 12.2 121
35.17 31.36 cabe 13.5 15.5 157
38.94 30.38 cabe 7.5 9.3 94
36.29 31.3 cabe 11.75 11.7 116
34.66 31.91 cabe 10.75 12 119
34.28 22.42 qupe 43.75 31.1 166
35.76 21.64 cabe 17.5 11 109
41.93 20.79 qupe 46 30.4 156
45.06 20.02 cabe 24.25 13.3 132
49.99 17.87 qupe 35.75 24.9 92
28.19 46.61 cabe 8.75 12.3 122
36.93 29.7 qupe 42.25 25.9 101
5.89 16.61 cabe 5.75 6 68
9.24 14.61 qupe 36.5 26.2 104
5.27 6.48 qupe 44.75 31.9 177
7.5 0.56 qupe 36.5 33.9 205
10.02 4.69 qupe 40 29.5 144
9.13 11.63 qupe 51.25 32.6 187
27.95 48.6 cabe 9 8.5 88
17.77 13.99 cabe 7.25 9.2 93
29.21 41.17 qupe 43.25 26.8 135
24.54 44.07 cabe 6 6.4 71
48.69 8.65 cabe 5.75 8.5 88
47.11 10.09 qupe 44.25 26.7 110
38.26 16.13 qupe 52 35.8 231
30.96 16.79 qupe 45.5 33.8 203
28.85 49.5 cabe 9.5 12.3 122
20.51 18.62 qupe 52.25 29.3 141
23.82 15.54 cabe 7.5 11.2 111
26.14 14.3 cabe 6 9.8 98
32.97 13.97 cabe 6.25 8.5 88
32.43 10.93 cabe 6 7.3 78
12.78 1.2 acca 17.5 15.7 136
16.67 7.5 qupe 45 30.2 154
17.72 3.63 cabe 17.25 15.3 154
16.23 0.25 qupe 38.75 30.2 154
34.49 8.58 qupe 47.25 29.2 140
30.46 48.71 qupe 49.75 25.4 96
41.05 11.99 qupe 31.75 28.5 131
36.68 4.03 qupe 35.75 28.5 131
29.8 1.69 qupe 53.75 33.3 196
25.54 1.52 qupe 42.25 31.7 174
28.9 4.79 cabe 20.5 21.9 233
29.88 7 qupe 46.75 27.2 115
29.3 47.33 cabe 10.25 11.5 114
29.55 46.01 cabe 8.25 11 109
32.26 46.58 cabe 11 8.6 88
32.82 47.46 cabe 10 12.1 120
34.48 46.27 cabe 13 13.2 131
37.77 46.28 qupe 43.25 30.4 156
37.96 47.52 cabe 12.5 11.7 116
36.63 48.52 cabe 10 13.4 133
37.6 48.99 cabe 9 9.7 97
38.36 49.27 cabe 10.5 13.6 135
21.32 12.34 cabe 7 10 100
50 40.12 cabe 13.75 15.7 159
21.78 20.08 cabe 9.25 14.3 143
10.03 15.71 acps 12 16.8 172
44.97 49.04 acps 9 13.1 130
42.61 48.42 cabe 13 15.1 152
1.47 36.57 cabe 6.75 12.1 120
43.61 43.55 cabe 7.75 8.1 84
32.51 41.32 qupe 31.5 25.9 101
28.56 38.98 qupe 36 25.8 100
27.12 38.1 cabe 7.5 9.1 92
26.75 37.85 cabe 13.75 14.5 145
5 46.83 acps 6.5 8.3 86
24.45 41.67 acps 6 8.4 87
23.73 40.68 acps 6.25 8.9 91
20.22 41.18 acps 7.5 11.5 114
22.2 36.27 acps 7.75 9.6 97
