x y species dbh height age
4.94 3.4 qupe 6.25 5.8 10
2.23 3.23 qupe 7.25 6.8 11
2.52 5.69 qupe 9.5 7.5 12
5.83 2.84 qupe 7.5 6 10
0.25 3.84 qupe 6 6.8 11
0.43 0.55 qupe 8 7.9 12
2.96 1.27 qupe 6.25 6.5 11
1.16 5.83 qupe 6.75 7.4 12
5.45 0.25 qupe 7.25 7.2 11
9.28 1.55 qupe 5.25 6.1 10
23.12 4.51 qupe 6.25 6.1 10
21.09 7.81 qupe 5.75 6.2 10
38.23 1.26 qupe 5.75 5.7 10
35.86 10.78 qupe 6.25 7.3 12
34.29 10.36 qupe 5.5 7.1 11
19.51 21.55 pisy 6 3.5 10
4.25 4.09 qupe 7 6.5 11
54.94 3.4 qupe 6.25 5.8 10
52.23 3.23 qupe 7.25 6.8 11
52.52 5.69 qupe 9.5 7.5 12
55.83 2.84 qupe 7.5 6 10
50.25 3.84 qupe 6 6.8 11
50.43 0.55 qupe 8 7.9 12
52.96 1.27 qupe 6.25 6.5 11
51.16 5.83 qupe 6.75 7.4 12
55.45 0.25 qupe 7.25 7.2 11
59.28 1.55 qupe 5.25 6.1 10
73.12 4.51 qupe 6.25 6.1 10
71.09 7.81 qupe 5.75 6.2 10
88.23 1.26 qupe 5.75 5.7 10
85.86 10.78 qupe 6.25 7.3 12
84.29 10.36 qupe 5.5 7.1 11
69.51 21.55 pisy 6 3.5 10
54.25 4.09 qupe 7 6.5 11
4.94 53.4 qupe 6.25 5.8 10
2.23 53.23 qupe 7.25 6.8 11
2.52 55.69 qupe 9.5 7.5 12
5.83 52.84 qupe 7.5 6 10
0.25 53.84 qupe 6 6.8 11
0.43 50.55 qupe 8 7.9 12
2.96 51.27 qupe 6.25 6.5 11
1.16 55.83 qupe 6.75 7.4 12
5.45 50.25 qupe 7.25 7.2 11
9.28 51.55 qupe 5.25 6.1 10
23.12 54.51 qupe 6.25 6.1 10
21.09 57.81 qupe 5.75 6.2 10
38.23 51.26 qupe 5.75 5.7 10
35.86 60.78 qupe 6.25 7.3 12
34.29 60.36 qupe 5.5 7.1 11
19.51 71.55 pisy 6 3.5 10
4.25 54.09 qupe 7 6.5 11
54.94 53.4 qupe 6.25 5.8 10
52.23 53.23 qupe 7.25 6.8 11
52.52 55.69 qupe 9.5 7.5 12
55.83 52.84 qupe 7.5 6 10
50.25 53.84 qupe 6 6.8 11
50.43 50.55 qupe 8 7.9 12
52.96 51.27 qupe 6.25 6.5 11
51.16 55.83 qupe 6.75 7.4 12
55.45 50.25 qupe 7.25 7.2 11
59.28 51.55 qupe 5.25 6.1 10
73.12 54.51 qupe 6.25 6.1 10
71.09 57.81 qupe 5.75 6.2 10
88.23 51.26 qupe 5.75 5.7 10
85.86 60.78 qupe 6.25 7.3 12
84.29 60.36 qupe 5.5 7.1 11
69.51 71.55 pisy 6 3.5 10
54.25 54.09 qupe 7 6.5 11
