x y species dbh height age
3.35 46.5 fasy 28.25 22.3 89
4.13 28.65 fasy 56 29.2 144
5.6 32.46 fasy 58.25 33.3 184
9.45 28.19 fasy 33.5 27.9 132
17.36 33.58 fasy 42.5 32.5 176
23.34 36.44 fasy 44 33.4 185
24.38 27.22 fasy 47.5 28.8 140
21.85 21.65 fasy 43.75 28.8 140
21.67 16.98 fasy 41.75 27 124
19.37 18.24 fasy 33.75 30.8 160
14.71 18.28 fasy 36.25 28.7 139
5.33 46.65 fasy 38.5 30.4 156
13.69 21.57 fasy 24.75 23.4 97
9.59 21.86 fasy 59 33.5 186
7.89 24.25 fasy 28.25 27 124
0.3 22.98 fasy 33 27 124
1.31 17.81 fasy 56.5 29.8 150
2.11 12.13 fasy 26.5 27 124
27.83 0.25 fasy 45.25 24.6 105
32.9 0.25 fasy 50 26.1 117
35.97 2.1 fasy 53 29.2 144
40 1.17 fasy 31 26 116
10.25 45.84 fasy 33.75 29.7 149
43.14 1.04 piab 7.5 5 22
46.72 7.75 fasy 42.5 31.9 170
49.19 13.65 fasy 52 35.3 204
45.34 16.53 fasy 43 33.6 187
43.18 6.56 fasy 40.75 33.8 189
34.61 7.76 fasy 33.5 22.6 91
33.39 9.5 fasy 24 20.6 79
30.37 10.28 fasy 52.75 32.2 173
26.37 4.9 fasy 9.25 7.2 28
17.39 45.43 fasy 45.5 33.2 183
25.92 7.5 fasy 8.5 7 27
24.65 8.16 piab 9 7.3 27
22.2 7.48 fasy 10 8.5 32
36.1 12.83 piab 68 38.8 197
35.72 14.29 fasy 33.75 25.5 112
37.73 16.47 fasy 35.75 26.5 120
33.77 18.86 fasy 29.5 25.9 115
37.48 18.66 fasy 35.5 28.1 134
40.6 19.98 fasy 26.5 26.1 117
44 22.13 piab 54.5 37.9 188
21.07 45.28 fasy 41.25 32.7 178
43.19 23.86 fasy 25 22.3 89
0.25 5.48 fasy 32.5 29.8 150
10.39 5.69 fasy 39.5 25.8 114
12.64 6.23 fasy 33.75 27 124
42.52 26.01 fasy 50.25 32.3 174
38.17 25.03 fasy 35.75 31.6 167
36.28 25.13 fasy 34.5 34.3 194
35.37 21.65 fasy 43.75 28.7 139
19.63 37.91 fasy 47 33.5 186
33.6 25.91 fasy 30.5 25.6 113
7.88 1.92 fasy 39 27.3 127
8.33 12.14 fasy 40.25 29.2 144
34.81 33.64 fasy 52.5 30.8 160
37.52 33.26 fasy 17.25 18.1 67
38.91 36.72 fasy 35.75 27.5 129
42.14 37.78 fasy 53 35.7 208
49.23 40.17 fasy 37.5 31.1 163
12.41 39.14 fasy 43 34.5 196
49.76 43.52 fasy 6.75 7 27
31.37 18.23 fasy 8 8 34
41.99 47.96 fasy 36 33.2 183
33.75 44 fasy 48.5 31.2 164
33.22 47.97 fasy 75 33.6 187
29.59 34.28 piab 7 5.5 23
31.81 34.62 fasy 6.75 7.3 28
11.37 40.64 piab 58.25 35.3 163
1.65 41.47 fasy 46 27.7 130
53.35 46.5 fasy 28.25 22.3 89
54.13 28.65 fasy 56 29.2 144
55.6 32.46 fasy 58.25 33.3 184
59.45 28.19 fasy 33.5 27.9 132
67.36 33.58 fasy 42.5 32.5 176
73.34 36.44 fasy 44 33.4 185
74.38 27.22 fasy 47.5 28.8 140
71.85 21.65 fasy 43.75 28.8 140
71.67 16.98 fasy 41.75 27 124
69.37 18.24 fasy 33.75 30.8 160
64.71 18.28 fasy 36.25 28.7 139
55.33 46.65 fasy 38.5 30.4 156
63.69 21.57 fasy 24.75 23.4 97
59.59 21.86 fasy 59 33.5 186
57.89 24.25 fasy 28.25 27 124
50.3 22.98 fasy 33 27 124
51.31 17.81 fasy 56.5 29.8 150
52.11 12.13 fasy 26.5 27 124
77.83 0.25 fasy 45.25 24.6 105
82.9 0.25 fasy 50 26.1 117
85.97 2.1 fasy 53 29.2 144
90 1.17 fasy 31 26 116
60.25 45.84 fasy 33.75 29.7 149
93.14 1.04 piab 7.5 5 22
96.72 7.75 fasy 42.5 31.9 170
99.19 13.65 fasy 52 35.3 204
95.34 16.53 fasy 43 33.6 187
93.18 6.56 fasy 40.75 33.8 189
84.61 7.76 fasy 33.5 22.6 91
83.39 9.5 fasy 24 20.6 79
80.37 10.28 fasy 52.75 32.2 173
76.37 4.9 fasy 9.25 7.2 28
67.39 45.43 fasy 45.5 33.2 183
75.92 7.5 fasy 8.5 7 27
74.65 8.16 piab 9 7.3 27
72.2 7.48 fasy 10 8.5 32
86.1 12.83 piab 68 38.8 197
85.72 14.29 fasy 33.75 25.5 112
87.73 16.47 fasy 35.75 26.5 120
83.77 18.86 fasy 29.5 25.9 115
87.48 18.66 fasy 35.5 28.1 134
90.6 19.98 fasy 26.5 26.1 117
94 22.13 piab 54.5 37.9 188
71.07 45.28 fasy 41.25 32.7 178
93.19 23.86 fasy 25 22.3 89
50.25 5.48 fasy 32.5 29.8 150
60.39 5.69 fasy 39.5 25.8 114
62.64 6.23 fasy 33.75 27 124
92.52 26.01 fasy 50.25 32.3 174
88.17 25.03 fasy 35.75 31.6 167
86.28 25.13 fasy 34.5 34.3 194
85.37 21.65 fasy 43.75 28.7 139
69.63 37.91 fasy 47 33.5 186
83.6 25.91 fasy 30.5 25.6 113
57.88 1.92 fasy 39 27.3 127
58.33 12.14 fasy 40.25 29.2 144
84.81 33.64 fasy 52.5 30.8 160
87.52 33.26 fasy 17.25 18.1 67
88.91 36.72 fasy 35.75 27.5 129
92.14 37.78 fasy 53 35.7 208
99.23 40.17 fasy 37.5 31.1 163
62.41 39.14 fasy 43 34.5 196
99.76 43.52 fasy 6.75 7 27
81.37 18.23 fasy 8 8 34
91.99 47.96 fasy 36 33.2 183
83.75 44 fasy 48.5 31.2 164
83.22 47.97 fasy 75 33.6 187
79.59 34.28 piab 7 5.5 23
81.81 34.62 fasy 6.75 7.3 28
61.37 40.64 piab 58.25 35.3 163
51.65 41.47 fasy 46 27.7 130
3.35 96.5 fasy 28.25 22.3 89
4.13 78.65 fasy 56 29.2 144
5.6 82.46 fasy 58.25 33.3 184
9.45 78.19 fasy 33.5 27.9 132
17.36 83.58 fasy 42.5 32.5 176
23.34 86.44 fasy 44 33.4 185
24.38 77.22 fasy 47.5 28.8 140
21.85 71.65 fasy 43.75 28.8 140
21.67 66.98 fasy 41.75 27 124
19.37 68.24 fasy 33.75 30.8 160
14.71 68.28 fasy 36.25 28.7 139
5.33 96.65 fasy 38.5 30.4 156
13.69 71.57 fasy 24.75 23.4 97
9.59 71.86 fasy 59 33.5 186
7.89 74.25 fasy 28.25 27 124
0.3 72.98 fasy 33 27 124
1.31 67.81 fasy 56.5 29.8 150
2.11 62.13 fasy 26.5 27 124
27.83 50.25 fasy 45.25 24.6 105
32.9 50.25 fasy 50 26.1 117
35.97 52.1 fasy 53 29.2 144
40 51.17 fasy 31 26 116
10.25 95.84 fasy 33.75 29.7 149
43.14 51.04 piab 7.5 5 22
46.72 57.75 fasy 42.5 31.9 170
49.19 63.65 fasy 52 35.3 204
45.34 66.53 fasy 43 33.6 187
43.18 56.56 fasy 40.75 33.8 189
34.61 57.76 fasy 33.5 22.6 91
33.39 59.5 fasy 24 20.6 79
30.37 60.28 fasy 52.75 32.2 173
26.37 54.9 fasy 9.25 7.2 28
17.39 95.43 fasy 45.5 33.2 183
25.92 57.5 fasy 8.5 7 27
24.65 58.16 piab 9 7.3 27
22.2 57.48 fasy 10 8.5 32
36.1 62.83 piab 68 38.8 197
35.72 64.29 fasy 33.75 25.5 112
37.73 66.47 fasy 35.75 26.5 120
33.77 68.86 fasy 29.5 25.9 115
37.48 68.66 fasy 35.5 28.1 134
40.6 69.98 fasy 26.5 26.1 117
44 72.13 piab 54.5 37.9 188
21.07 95.28 fasy 41.25 32.7 178
43.19 73.86 fasy 25 22.3 89
0.25 55.48 fasy 32.5 29.8 150
10.39 55.69 fasy 39.5 25.8 114
12.64 56.23 fasy 33.75 27 124
42.52 76.01 fasy 50.25 32.3 174
38.17 75.03 fasy 35.75 31.6 167
36.28 75.13 fasy 34.5 34.3 194
35.37 71.65 fasy 43.75 28.7 139
19.63 87.91 fasy 47 33.5 186
33.6 75.91 fasy 30.5 25.6 113
7.88 51.92 fasy 39 27.3 127
8.33 62.14 fasy 40.25 29.2 144
34.81 83.64 fasy 52.5 30.8 160
37.52 83.26 fasy 17.25 18.1 67
38.91 86.72 fasy 35.75 27.5 129
42.14 87.78 fasy 53 35.7 208
49.23 90.17 fasy 37.5 31.1 163
12.41 89.14 fasy 43 34.5 196
49.76 93.52 fasy 6.75 7 27
31.37 68.23 fasy 8 8 34
41.99 97.96 fasy 36 33.2 183
33.75 94 fasy 48.5 31.2 164
33.22 97.97 fasy 75 33.6 187
29.59 84.28 piab 7 5.5 23
31.81 84.62 fasy 6.75 7.3 28
11.37 90.64 piab 58.25 35.3 163
1.65 91.47 fasy 46 27.7 130
53.35 96.5 fasy 28.25 22.3 89
54.13 78.65 fasy 56 29.2 144
55.6 82.46 fasy 58.25 33.3 184
59.45 78.19 fasy 33.5 27.9 132
67.36 83.58 fasy 42.5 32.5 176
73.34 86.44 fasy 44 33.4 185
74.38 77.22 fasy 47.5 28.8 140
71.85 71.65 fasy 43.75 28.8 140
71.67 66.98 fasy 41.75 27 124
69.37 68.24 fasy 33.75 30.8 160
64.71 68.28 fasy 36.25 28.7 139
55.33 96.65 fasy 38.5 30.4 156
63.69 71.57 fasy 24.75 23.4 97
59.59 71.86 fasy 59 33.5 186
57.89 74.25 fasy 28.25 27 124
50.3 72.98 fasy 33 27 124
51.31 67.81 fasy 56.5 29.8 150
52.11 62.13 fasy 26.5 27 124
77.83 50.25 fasy 45.25 24.6 105
82.9 50.25 fasy 50 26.1 117
85.97 52.1 fasy 53 29.2 144
90 51.17 fasy 31 26 116
60.25 95.84 fasy 33.75 29.7 149
93.14 51.04 piab 7.5 5 22
96.72 57.75 fasy 42.5 31.9 170
99.19 63.65 fasy 52 35.3 204
95.34 66.53 fasy 43 33.6 187
93.18 56.56 fasy 40.75 33.8 189
84.61 57.76 fasy 33.5 22.6 91
83.39 59.5 fasy 24 20.6 79
80.37 60.28 fasy 52.75 32.2 173
76.37 54.9 fasy 9.25 7.2 28
67.39 95.43 fasy 45.5 33.2 183
75.92 57.5 fasy 8.5 7 27
74.65 58.16 piab 9 7.3 27
72.2 57.48 fasy 10 8.5 32
86.1 62.83 piab 68 38.8 197
85.72 64.29 fasy 33.75 25.5 112
87.73 66.47 fasy 35.75 26.5 120
83.77 68.86 fasy 29.5 25.9 115
87.48 68.66 fasy 35.5 28.1 134
90.6 69.98 fasy 26.5 26.1 117
94 72.13 piab 54.5 37.9 188
71.07 95.28 fasy 41.25 32.7 178
93.19 73.86 fasy 25 22.3 89
50.25 55.48 fasy 32.5 29.8 150
60.39 55.69 fasy 39.5 25.8 114
62.64 56.23 fasy 33.75 27 124
92.52 76.01 fasy 50.25 32.3 174
88.17 75.03 fasy 35.75 31.6 167
86.28 75.13 fasy 34.5 34.3 194
85.37 71.65 fasy 43.75 28.7 139
69.63 87.91 fasy 47 33.5 186
83.6 75.91 fasy 30.5 25.6 113
57.88 51.92 fasy 39 27.3 127
58.33 62.14 fasy 40.25 29.2 144
84.81 83.64 fasy 52.5 30.8 160
87.52 83.26 fasy 17.25 18.1 67
88.91 86.72 fasy 35.75 27.5 129
92.14 87.78 fasy 53 35.7 208
99.23 90.17 fasy 37.5 31.1 163
62.41 89.14 fasy 43 34.5 196
99.76 93.52 fasy 6.75 7 27
81.37 68.23 fasy 8 8 34
91.99 97.96 fasy 36 33.2 183
83.75 94 fasy 48.5 31.2 164
83.22 97.97 fasy 75 33.6 187
79.59 84.28 piab 7 5.5 23
81.81 84.62 fasy 6.75 7.3 28
61.37 90.64 piab 58.25 35.3 163
51.65 91.47 fasy 46 27.7 130
